,name,upjong,address_x,category,rating,평점_건수,평점_합계,평점_평균,평점_표준편차,Column1,address_y,Latitude,Longitude,상태
0,설레임,한식,"제주특별자치도 제주시 애월읍 일주서로 5999-1, 2층",애월읍,5.0,5042.0,23596.5,4.679988099960333,0.9048033341311639,0.0,"제주특별자치도 제주시 애월읍 일주서로 5999-1, 2층",33.4471343,126.3057656,정좌표
1,해물섬,한식,"제주특별자치도 제주시 애월읍 애월로11길 19, 1층",애월읍,4.0,43.0,196.0,4.558139534883721,0.7575752542029937,82608.0,"제주특별자치도 제주시 애월읍 애월로11길 19, 1층",33.4659677,126.3206294,정좌표
2,엄지흑돼지,한식,"제주특별자치도 제주시 애월읍 일주서로 6701, 1층",애월읍,5.0,64.0,296.5,4.6328125,0.878500650459146,82696.0,"제주특별자치도 제주시 애월읍 일주서로 6701, 1층",33.4718805,126.3681801,정좌표
3,비금향,기타,"제주특별자치도 제주시 애월읍 항몽로 133, 1층",애월읍,4.0,3.0,13.5,4.5,0.5,82828.0,"제주특별자치도 제주시 애월읍 항몽로 133, 1층",33.4725624,126.4093289,정좌표
4,우미노식탁,기타,"제주특별자치도 제주시 애월읍 금성5길 42-24, 1층",애월읍,5.0,127.0,581.0,4.574803149606299,0.8215324920814495,82842.0,"제주특별자치도 제주시 애월읍 금성5길 42-24, 1층",33.4478775,126.3012418,정좌표
5,모슬포항부두식당2호점,중국식,"제주특별자치도 제주시 애월읍 애월로 33, 1층",애월읍,5.0,130.0,609.5,4.688461538461539,0.8075836880707314,83106.0,"제주특별자치도 제주시 애월읍 애월로 33, 1층",33.4659319,126.3192857,정좌표
6,한양뼈감탕,한식,제주특별자치도 제주시 애월읍 하귀로 38,애월읍,5.0,23.0,102.5,4.456521739130435,0.8779242496606942,83370.0,제주특별자치도 제주시 애월읍 하귀로 38,33.4800276,126.4012957,정좌표
7,달빛해녀촌횟집,한식,제주특별자치도 제주시 애월읍 애월해안로 270,애월읍,4.0,9.0,35.5,3.9444444444444446,1.4018836534383934,83420.0,제주특별자치도 제주시 애월읍 애월해안로 270,33.4683238,126.3401314,정좌표
8,즐거운밥상,탕류(보신용),"제주특별자치도 제주시 애월읍 광성로 249, 1층",애월읍,4.0,1.0,4.0,4.0,,83440.0,"제주특별자치도 제주시 애월읍 광성로 249, 1층",33.4601827,126.4339961,정좌표
9,곽지가,중국식,제주특별자치도 제주시 애월읍 일주서로 6025,애월읍,4.0,10.0,45.0,4.5,0.9428090415820632,83442.0,제주특별자치도 제주시 애월읍 일주서로 6025,33.4487544,126.307815,정좌표
10,연다라,기타,"제주특별자치도 제주시 애월읍 하가로 167-2, 1층",애월읍,5.0,10.0,49.0,4.9,0.31622776601683794,83462.0,"제주특별자치도 제주시 애월읍 하가로 167-2, 1층",33.4552718,126.3482713,정좌표
11,솔향바다가든,한식,"제주특별자치도 제주시 애월읍 일주서로 6113, 지하1층",애월읍,5.0,9.0,39.5,4.388888888888889,1.4743171677461777,83642.0,"제주특별자치도 제주시 애월읍 일주서로 6113, 지하1층",33.4565568,126.309107,정좌표
12,바이탈,기타,"제주특별자치도 제주시 애월읍 애월해안로 664, 지하1층",애월읍,5.0,3.0,15.0,5.0,0.0,83662.0,"제주특별자치도 제주시 애월읍 애월해안로 664, 지하1층",33.4782235,126.3665625,정좌표
13,애월리식당,기타,"제주특별자치도 제주시 애월읍 애월해안로 907, 1층",애월읍,5.0,10.0,48.0,4.8,0.2581988897471611,83668.0,"제주특별자치도 제주시 애월읍 애월해안로 907, 1층",33.484835,126.3925123,정좌표
14,별인애월,기타,"제주특별자치도 제주시 애월읍 신용로 25, 1층",애월읍,5.0,9.0,44.5,4.944444444444445,0.16666666666666669,83688.0,"제주특별자치도 제주시 애월읍 신용로 25, 1층",33.4687216,126.3668421,정좌표
15,키친앤정지,기타,"제주특별자치도 제주시 애월읍 일주서로 5990, 1층",애월읍,4.5,7.0,32.5,4.642857142857143,0.37796447300922725,83708.0,"제주특별자치도 제주시 애월읍 일주서로 5990, 1층",33.4461141,126.3055907,정좌표
16,애월짬뽕,기타,"제주특별자치도 제주시 애월읍 유수암평화5길 15-22, 1층",애월읍,2.5,10.0,41.5,4.15,1.0814085465005558,83828.0,"제주특별자치도 제주시 애월읍 유수암평화5길 15-22, 1층",33.4227938,126.4053905,정좌표
17,애월꼴통돼지,기타,"제주특별자치도 제주시 애월읍 애월로7길 10, 1층",애월읍,4.0,3.0,14.0,4.666666666666667,0.5773502691896257,83848.0,"제주특별자치도 제주시 애월읍 애월로7길 10, 1층",33.4651308,126.3191439,정좌표
18,일품순두부하귀점,기타,"제주특별자치도 제주시 애월읍 하귀9길 18, 1층",애월읍,2.5,9.0,34.5,3.8333333333333335,1.6393596310755,83854.0,"제주특별자치도 제주시 애월읍 하귀9길 18, 1층",33.4826863,126.415916,정좌표
19,애월오누이,한식,"제주특별자치도 제주시 애월읍 애월로9길 54, 나동 1층",애월읍,5.0,10.0,46.0,4.6,0.5676462121975467,83874.0,"제주특별자치도 제주시 애월읍 애월로9길 54, 나동 1층",33.4666642,126.3188712,정좌표
20,추닭집하귀점,기타,제주특별자치도 제주시 애월읍 하광로 37,애월읍,4.5,8.0,35.5,4.4375,0.8634441002668988,83894.0,제주특별자치도 제주시 애월읍 하광로 37,33.4714582,126.4186381,정좌표
21,광령힐식당,기타,"제주특별자치도 제주시 애월읍 광령남7길 1, 나동 1층",애월읍,5.0,2.0,10.0,5.0,0.0,83914.0,"제주특별자치도 제주시 애월읍 광령남7길 1, 나동 1층",33.4469975,126.4322086,정좌표
