,name,upjong,address_x,category,평점_건수,평점_합계,평점_평균,평점_표준편차,Latitude,Longitude,상태
3718,돌담통닭,기타,"제주특별자치도 제주시 구좌읍 해녀박물관길 33-1, 1층",구좌읍,44,204.5,4.647727273,0.711855955,33.52373,126.8622,정좌표
3719,월정해변식당,한식,"제주특별자치도 제주시 구좌읍 월정1길 70-12, 1층",구좌읍,50,236.0,4.72,0.615778916,33.55715,126.7942,정좌표
3720,김녕에사는김영훈,기타,"제주특별자치도 제주시 구좌읍 김녕로6길 2, 1층",구좌읍,73,348.5,4.773972603,0.425253976,33.55426,126.7463,정좌표
3721,부엉이해장국,한식,"제주특별자치도 제주시 구좌읍 세화1길 20-30, 1층",구좌읍,3,13.0,4.333333333,0.288675135,33.52646,126.856,정좌표
3722,감귤달,기타,"제주특별자치도 제주시 구좌읍 평대5길 31-29, 1층",구좌읍,85,384.0,4.517647059,0.614541345,33.5329,126.8403,정좌표
3723,평대스낵,분식,"제주특별자치도 제주시 구좌읍 대수길 7, 1층",구좌읍,185,786.0,4.248648649,1.064654879,33.53548,126.8392,정좌표
3724,해녀의부엌,한식,"제주특별자치도 제주시 구좌읍 해맞이해안로 2265, 1층",구좌읍,1314,6295.5,4.79109589,0.525007396,33.49779,126.9123,정좌표
3725,봉자네상점,기타,"제주특별자치도 제주시 구좌읍 월정7길 26, 1층",구좌읍,108,533.5,4.939814815,0.253181555,33.5534,126.7977,정좌표
3726,봉쟈블루스,기타,"제주특별자치도 제주시 구좌읍 해맞이해안로 1146-4, 1층",구좌읍,5,24.5,4.9,0.223606798,33.53656,126.8402,정좌표
3727,돈구어,한식,제주특별자치도 제주시 구좌읍 세화1길 15,구좌읍,116,515.0,4.439655172,1.081776262,33.52501,126.8541,정좌표
3728,멕시카나치킨김녕점,통닭(치킨),제주특별자치도 제주시 구좌읍 김녕로 122,구좌읍,26,113.0,4.346153846,1.037007529,33.55478,126.751,정좌표
3729,세화국수동네,한식,제주특별자치도 제주시 구좌읍 구좌로 31,구좌읍,2,10.0,5.0,0.0,33.52363,126.8548,정좌표
3730,이모24시해장국,한식,"제주특별자치도 제주시 구좌읍 세화북길 1, 1층",구좌읍,4,20.0,5.0,0.0,33.52465,126.8547,정좌표
3731,해녀촌식당,한식,제주특별자치도 제주시 구좌읍 동복로 33,구좌읍,433,1825.0,4.2147806,1.057409269,33.55367,126.7099,정좌표
3732,제주동복해녀식당,횟집,제주특별자치도 제주시 구좌읍 동복로 5,구좌읍,53,234.5,4.424528302,0.932306004,33.55352,126.7069,정좌표
3733,재연식당,한식,제주특별자치도 제주시 구좌읍 세화3길 27-2,구좌읍,241,1096.5,4.549792531,0.738530324,33.52619,126.856,정좌표
3734,장원,한식,제주특별자치도 제주시 구좌읍 세화1길 17,구좌읍,10,46.0,4.6,0.567646212,33.52537,126.8544,정좌표
3735,종달해녀의집,횟집,제주특별자치도 제주시 구좌읍 해맞이해안로 2276,구좌읍,49,214.5,4.37755102,0.838715612,33.49714,126.9109,정좌표
3736,상하이반점,중국식,제주특별자치도 제주시 구좌읍 세화5길 6-2,구좌읍,9,43.0,4.777777778,0.363241579,33.52356,126.8568,정좌표
3737,홍성원,중국식,제주특별자치도 제주시 구좌읍 구좌로 33-9,구좌읍,41,154.0,3.756097561,1.414752413,33.52393,126.8549,정좌표
3738,숙경식당,한식,제주특별자치도 제주시 구좌읍 구좌로 33-7,구좌읍,24,106.0,4.416666667,1.100065874,33.52384,126.8548,정좌표
3739,치저스,한식,"제주특별자치도 제주시 구좌읍 비자림로 1785, 1층",구좌읍,2295,10901.0,4.749891068,0.583833897,33.46837,126.7739,정좌표
3740,칠공팔공돼지국밥,한식,제주특별자치도 제주시 구좌읍 구좌로 37,구좌읍,2,10.0,5.0,0.0,33.52368,126.8556,정좌표
3741,난피자넌치킨,한식,"제주특별자치도 제주시 구좌읍 세화2길 14, 1층",구좌읍,2,7.5,3.75,0.353553391,33.52242,126.8561,정좌표
3742,밭담,한식,"제주특별자치도 제주시 구좌읍 행원로5길 35-20, 1층",구좌읍,10,47.5,4.75,0.353553391,33.55668,126.8035,정좌표
3743,라비미술관,경양식,"제주특별자치도 제주시 구좌읍 월정중길 13, 1층",구좌읍,1,5.0,5.0,,33.55663,126.7913,정좌표
3744,대영수산직영회센타,기타,"제주특별자치도 제주시 구좌읍 구좌로 33-10, 제1동 1층",구좌읍,46,174.0,3.782608696,1.64199125,33.52395,126.8552,정좌표
3745,일품순두부세화점,기타,"제주특별자치도 제주시 구좌읍 해맞이해안로 1426, 1층",구좌읍,83,341.0,4.108433735,1.120888674,33.5252,126.8577,정좌표
3746,동서네해장국세화점,한식,"제주특별자치도 제주시 구좌읍 구좌로 91, 1층",구좌읍,27,125.5,4.648148148,0.917928425,33.52122,126.86,정좌표
3747,월정크랩,기타,"제주특별자치도 제주시 구좌읍 해맞이해안로 486, 2층 202호",구좌읍,83,380.0,4.578313253,0.97054777,33.55464,126.7987,정좌표
3748,평대식당,한식,"제주특별자치도 제주시 구좌읍 해맞이해안로 1162, 1층",구좌읍,10,47.5,4.75,0.540061725,33.5349,126.8396,정좌표
3749,충청남도천안식당,한식,"제주특별자치도 제주시 구좌읍 세화5길 20, 1층",구좌읍,2,5.0,2.5,2.121320344,33.52494,126.8568,정좌표
3750,월정바다닭,기타,"제주특별자치도 제주시 구좌읍 월정3길 38, 1층",구좌읍,18,82.0,4.555555556,1.08314478,33.55448,126.7937,정좌표
3751,포앳홈,기타,"제주특별자치도 제주시 구좌읍 세화5길 8, 1층 제1호",구좌읍,43,197.0,4.581395349,0.851680639,33.52401,126.8568,정좌표
3752,버거스테이,기타,"제주특별자치도 제주시 구좌읍 세화1길 20-18, 1층",구좌읍,143,675.5,4.723776224,0.522986823,33.52563,126.8555,정좌표
3753,산도롱맨도롱,한식,"제주특별자치도 제주시 구좌읍 해맞이해안로 2284, 1층",구좌읍,1101,4739.5,4.304722979,1.012654226,33.49689,126.9102,정좌표
3754,제주달고둥,한식,"제주특별자치도 제주시 구좌읍 세평항로 28, 1층",구좌읍,2,10.0,5.0,0.0,33.52573,126.8545,정좌표
3755,말이,한식,"제주특별자치도 제주시 구좌읍 세화1길 40, 1층",구좌읍,41,178.0,4.341463415,0.996487734,33.52661,126.8557,정좌표
3756,머문,기타,"제주특별자치도 제주시 구좌읍 해맞이해안로 460, 2층",구좌읍,431,1911.5,4.435034803,0.779357181,33.55557,126.7958,정좌표
3757,백수당,기타,"제주특별자치도 제주시 구좌읍 월정1길 63, 1층",구좌읍,24,118.5,4.9375,0.224213602,33.55653,126.7935,정좌표
3758,팟타이만,기타,"제주특별자치도 제주시 구좌읍 월정1길 61, 1층",구좌읍,323,1459.5,4.518575851,0.762857787,33.55663,126.7934,정좌표
