name,upjong,address,category,rat_count,rat_avg,Latitude,Longitude
하귀동태찌개,한식,제주특별자치도 제주시 애월읍 하귀로 63 1층,애월읍,3,4.5,33.4809631,126.4038595
밥먹자,한식,제주특별자치도 제주시 애월읍 평화로 2535-2,애월읍,10,4.35,33.435485,126.4220965
와썹비치하우스,기타,제주특별자치도 제주시 애월읍 곽지1길 30 1층,애월읍,10,5,33.4488627,126.3042586
뜨락,기타,제주특별자치도 제주시 애월읍 하귀동남2길 1 1층,애월읍,8,4.8125,33.4806472,126.4124765
하귀비바리,중국식,제주특별자치도 제주시 애월읍 하귀9길 11,애월읍,10,4.5,33.4830763,126.4136997
어멍이뽑는막국수,한식,제주특별자치도 제주시 애월읍 하귀동남3길 6,애월읍,9,4.388888889,33.4849584,126.4155823
종이시계,한식,제주특별자치도 제주시 애월읍 애월해안로 899 2~3층,애월읍,10,4.15,33.4853375,126.3918721
하귀애애,한식,제주특별자치도 제주시 애월읍 하귀로 43-2 1층,애월읍,7,4.928571429,33.4805276,126.4021784
윈드스톤,기타,제주특별자치도 제주시 애월읍 광성로 272 1층,애월읍,10,4.3,33.4603788,126.4361793
맛의고수,기타,제주특별자치도 제주시 애월읍 애월로 29 지하1층,애월읍,10,4.65,33.4623497,126.3103487
애월집,한식,제주특별자치도 제주시 애월읍 애월해안로 690 지하1층,애월읍,10,4.45,33.482065,126.3756375
서황,한식,제주특별자치도 제주시 애월읍 장소로 205-2 1층,애월읍,10,4.15,33.4348196,126.3800658
탄트라,경양식,제주특별자치도 제주시 애월읍 애월해안로 394 지하2층,애월읍,7,4.714285714,33.4782235,126.3665625
에코힐글램핑,한식,제주특별자치도 제주시 애월읍 광령평화8길 22 1층,애월읍,10,3.9,33.4349896,126.4419166
솔또롱밥집,한식,제주특별자치도 제주시 애월읍 하귀로 34 1층,애월읍,5,5,33.4800007,126.4008917
애월한아름식당,한식,제주특별자치도 제주시 애월읍 애원로 41 2층,애월읍,3,5,33.460321,126.3215331
도레아,한식,제주특별자치도 제주시 애월읍 하소로 5 1층 제1호,애월읍,9,4.777777778,33.4795069,126.3999992
노형한빛식당,한식,제주특별자치도 제주시 애월읍 유수암평화5길 88 1층,애월읍,6,4.916666667,33.424382,126.4051687
쿠오모,기타,제주특별자치도 제주시 애월읍 구엄동1길 7 1층,애월읍,10,4.05,33.4756784,126.3778351
블루사이공,한식,제주특별자치도 제주시 애월읍 중산간서로 6333 2층,애월읍,10,4.65,33.4577429,126.4081487
쏘렐라,한식,제주특별자치도 제주시 애월읍 애상로 87 1층,애월읍,10,4.8,33.457827,126.332473
소문난맛집,한식,제주특별자치도 제주시 애월읍 애월해안로 945-2 1층,애월읍,10,5,33.4836152,126.3965099
어머니의뜻을담다단지,경양식,제주특별자치도 제주시 애월읍 하귀2길 66 1층,애월읍,10,4.3,33.4893386,126.4119402
후카후카,한식,제주특별자치도 제주시 애월읍 항파두리로 148 1층,애월읍,10,4.8,33.4520718,126.4077366
요시노,일식,제주특별자치도 제주시 애월읍 고성남서길 7 1층,애월읍,10,4,33.4285926,126.4220938
따뜻한밥상,한식,제주특별자치도 제주시 애월읍 곽지1길 3-2 1층,애월읍,9,4.555555556,33.446402,126.305155
칠사돈한담점,한식,제주특별자치도 제주시 애월읍 애월로 37 1층,애월읍,106,4.254716981,33.4621883,126.3123305
마농애월점,한식,제주특별자치도 제주시 애월읍 애월해안로 881 1층,애월읍,2,5,33.4782235,126.3665625
애월국수,한식,제주특별자치도 제주시 애월읍 애월로 106-1 1층 제1호,애월읍,18,4.472222222,33.4644349,126.318555
바삭애월해안도로점,기타,제주특별자치도 제주시 애월읍 애월해안로 724 1층,애월읍,121,4.334710744,33.4840035,126.3782131
탐라해동밥상,한식,제주특별자치도 제주시 애월읍 광상로 323-16 1층,애월읍,24,4.708333333,33.4425732,126.3989656
제주갈매기,한식,제주특별자치도 제주시 애월읍 하광로 17 1층,애월읍,10,4.75,33.4621944,126.4227085
잇수다,경양식,제주특별자치도 제주시 애월읍 고내로7길 46-1 1층,애월읍,10,5,33.466902,126.3376403
홀가분가든,한식,제주특별자치도 제주시 애월읍 광령중길 133-2 1층,애월읍,8,4.5625,33.4538948,126.4351433
산들촌,한식,제주특별자치도 제주시 애월읍 평화로 2751 1층,애월읍,2,4.25,33.4222395,126.4092532
화돗,기타,제주특별자치도 제주시 애월읍 하광로 15 1층,애월읍,9,4.444444444,33.4621944,126.4227085
칠사돈,한식,제주특별자치도 제주시 애월읍 애월해안로 906 1층,애월읍,10,5,33.4847302,126.3921125
임순이네,한식,제주특별자치도 제주시 애월읍 곽지1길 26-7 1층 제3호,애월읍,10,4.75,33.4488627,126.3042586
신제주촌오리,한식,제주특별자치도 제주시 애월읍 가문동길 27-6,애월읍,10,4.8,33.4848359,126.3930326
가호,한식,제주특별자치도 제주시 애월읍 가문동상2길 35 가동 1층,애월읍,8,4.8125,33.4853633,126.3906957
모립,기타,제주특별자치도 제주시 애월읍 애월로1길 26-7 1층,애월읍,10,4.4,33.4629939,126.3097778
디오라제,기타,제주특별자치도 제주시 애월읍 애월해안로 554-8 오렌지힐 1층,애월읍,8,4.3125,33.4775969,126.3629091
애월플라워하물,기타,제주특별자치도 제주시 애월읍 애월해안로 58 1~2층,애월읍,6,4.583333333,33.4782235,126.3665625
애월프렌즈,경양식,제주특별자치도 제주시 애월읍 신엄안2길 34 1층,애월읍,6,4.083333333,33.4755071,126.3685627
로뎀애가든,한식,제주특별자치도 제주시 애월읍 애월항로 17 2층,애월읍,10,4.95,33.4638695,126.3265501
에이엠11,한식,제주특별자치도 제주시 애월읍 애월해안로 720 1~2층,애월읍,10,3.95,33.4839595,126.377939
제주반딧불한담애월점,한식,제주특별자치도 제주시 애월읍 애월로1길 24-11 1층,애월읍,10,4.65,33.4624642,126.3102678
만지식당,한식,제주특별자치도 제주시 애월읍 고내로 13-1 1층,애월읍,10,3.55,33.4632506,126.3389717
죽성오리,한식,제주특별자치도 제주시 애월읍 하귀11길 3-11,애월읍,3,4.666666667,33.4830763,126.4136997
문개항아리애월점,한식,제주특별자치도 제주시 애월읍 가문동길 38,애월읍,10,4.85,33.4857824,126.3925353
유수암별장미락,한식,제주특별자치도 제주시 애월읍 유수암평화길 170 1층,애월읍,2,4,33.4288308,126.4087735
몬스터살롱,패스트푸드,제주특별자치도 제주시 애월읍 일주서로 6017 1층,애월읍,10,4.3,33.4482531,126.3072817
연화키친,한식,제주특별자치도 제주시 애월읍 상가로 51 1층,애월읍,9,4.5,33.4490813,126.3462983
심바카레,한식,제주특별자치도 제주시 애월읍 금성5길 44-16 1층,애월읍,194,4.595360825,33.4482312,126.302319
중엄집밥처럼,한식,제주특별자치도 제주시 애월읍 일주서로 6755 나동 1층,애월읍,12,4.25,33.4737148,126.3735697
꿈낭,한식,제주특별자치도 제주시 애월읍 유수암평화5길 32 A동 1층,애월읍,9,4.277777778,33.424382,126.4051687
베트남쌀국수,"외국음식전문점(인도,태국등)",제주특별자치도 제주시 애월읍 광령중길 133-2 1층,애월읍,23,4.717391304,33.4538948,126.4351433
