,사업장명,업종구분대분류,업종구분소분류,소재지전체주소,naver_map_url
0,파파야,일반음식점,기타,제주특별자치도 서귀포시 성산읍 성산리 230-22번지 ,https://pcmap.place.naver.com/restaurant/37890576/review/visitor#
3,당포회센타,일반음식점,회집,제주특별자치도 서귀포시 표선면 표선리 45-6번지 ,https://pcmap.place.naver.com/restaurant/1465642893/review/visitor#
5,해민이네양곱창,일반음식점,한식,제주특별자치도 서귀포시 법환동 737-3번지 ,https://pcmap.place.naver.com/restaurant/93708698/review/visitor#
6,농부의밥상,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 성산읍 수산리 669-3 ,https://pcmap.place.naver.com/restaurant/1122024164/review/visitor#
8,팔미돈가2호점,일반음식점,한식,제주특별자치도 서귀포시 성산읍 난산리 2625-4 ,https://pcmap.place.naver.com/restaurant/1136661174/review/visitor#
9,키다리네,일반음식점,기타,제주특별자치도 서귀포시 안덕면 화순리 991-4번지 1층 ,https://pcmap.place.naver.com/restaurant/1636682834/review/visitor#
12,소랑밥상,일반음식점,한식,제주특별자치도 서귀포시 남원읍 위미리 1878번지 ,https://pcmap.place.naver.com/restaurant/38591445/review/visitor#
13,상효올레집,일반음식점,한식,제주특별자치도 서귀포시 상효동 823-1번지 ,https://pcmap.place.naver.com/restaurant/582599548/review/visitor#
16,뽀르또,일반음식점,기타,제주특별자치도 서귀포시 남원읍 위미리 1767-4번지 1층 ,https://pcmap.place.naver.com/restaurant/34942163/review/visitor#
17,중문레지나김밥,일반음식점,한식,제주특별자치도 서귀포시 중문동 1949-3번지 ,https://pcmap.place.naver.com/restaurant/38310744/review/visitor#
21,예원회수산,일반음식점,회집,제주특별자치도 서귀포시 중문동 2011-4번지 ,https://pcmap.place.naver.com/restaurant/16928002/review/visitor#
22,불닭공장서귀포신시가지점,일반음식점,호프/통닭,제주특별자치도 서귀포시 강정동 177 대림상가102호 ,https://pcmap.place.naver.com/restaurant/1123084536/review/visitor#
23,통돌이돈통가,일반음식점,한식,제주특별자치도 서귀포시 표선면 세화리 669-5 ,https://pcmap.place.naver.com/restaurant/1130282337/review/visitor#
30,홍교,일반음식점,패밀리레스트랑,제주특별자치도 서귀포시 대정읍 하모리 694 ,https://pcmap.place.naver.com/restaurant/1281515072/review/visitor#
31,신산상회,일반음식점,기타,제주특별자치도 서귀포시 성산읍 신산리 1085-17번지 ,https://pcmap.place.naver.com/restaurant/1058593038/review/visitor#
32,팔도실비집신서귀포점,일반음식점,한식,제주특별자치도 서귀포시 법환동 737-3 ,https://pcmap.place.naver.com/restaurant/12948836/review/visitor#
33,전원일기동광점,일반음식점,한식,제주특별자치도 서귀포시 안덕면 동광리 853 1층 가동 ,https://pcmap.place.naver.com/restaurant/1600390812/review/visitor#
34,국수1번가,일반음식점,한식,제주특별자치도 서귀포시 안덕면 사계리 758-3번지 A동 ,https://pcmap.place.naver.com/restaurant/1626510153/review/visitor#
35,공가네구이촌,일반음식점,한식,제주특별자치도 서귀포시 성산읍 고성리 297-6 ,https://pcmap.place.naver.com/restaurant/1700703512/review/visitor#
36,사계의시간,일반음식점,한식,제주특별자치도 서귀포시 안덕면 사계리 132-2번지 ,https://pcmap.place.naver.com/restaurant/1297456747/review/visitor#
37,중문국수마을,일반음식점,한식,"제주특별자치도 서귀포시 중문동 2050-1번지 , 1층 ",https://pcmap.place.naver.com/restaurant/1176535831/review/visitor#
38,촌놈숯불구이,일반음식점,한식,제주특별자치도 서귀포시 강정동 2628-1 1층 ,https://pcmap.place.naver.com/restaurant/1053060237/review/visitor#
40,로트105,일반음식점,경양식,제주특별자치도 서귀포시 서호동 1464-2번지 ,https://pcmap.place.naver.com/restaurant/1804941282/review/visitor#
41,순대이야기,일반음식점,한식,제주특별자치도 서귀포시 동홍동 1189번지 ,https://pcmap.place.naver.com/restaurant/31734969/review/visitor#
43,미소녀,일반음식점,분식,제주특별자치도 서귀포시 성산읍 고성리 1134번지 ,https://pcmap.place.naver.com/restaurant/37653557/review/visitor#
45,슬기로운와인생활,일반음식점,한식,,https://pcmap.place.naver.com/restaurant/1569757450/review/visitor#
46,강정장원식당,일반음식점,한식,제주특별자치도 서귀포시 강정동 2787-5번지 1층 ,https://pcmap.place.naver.com/restaurant/37666767/review/visitor#
48,봄향기,일반음식점,한식,제주특별자치도 서귀포시 대정읍 신평리 80-1번지 ,https://pcmap.place.naver.com/restaurant/1955773694/review/visitor#
49,별맛해장국,일반음식점,한식,제주특별자치도 서귀포시 남원읍 남원리 176-4번지 ,https://pcmap.place.naver.com/restaurant/16943197/review/visitor#
50,새늘봄,일반음식점,까페,제주특별자치도 서귀포시 서귀동 276-13번지 ,https://pcmap.place.naver.com/restaurant/16970495/review/visitor#
51,코업시티호텔성산,일반음식점,뷔페식,"제주특별자치도 서귀포시 성산읍 성산리 250 1,2층 ",https://pcmap.place.naver.com/restaurant/1236944819/review/visitor#
53,정직한통닭중문점,일반음식점,호프/통닭,제주특별자치도 서귀포시 중문동 1714-1번지 ,https://pcmap.place.naver.com/restaurant/603484231/review/visitor#
56,미향해장국성산점,일반음식점,한식,제주특별자치도 서귀포시 성산읍 고성리 1098-1번지 ,https://pcmap.place.naver.com/restaurant/37898247/review/visitor#
57,블라제,일반음식점,한식,제주특별자치도 서귀포시 표선면 가시리 3171번지 ,https://pcmap.place.naver.com/restaurant/12917695/review/visitor#
61,묵전,일반음식점,한식,제주특별자치도 서귀포시 대정읍 상모리 126-1번지 ,https://pcmap.place.naver.com/restaurant/483967513/review/visitor#
69,88버거,일반음식점,경양식,제주특별자치도 서귀포시 서귀동 255-9번지 ,https://pcmap.place.naver.com/restaurant/37698735/review/visitor#
72,동홍옛날통닭,일반음식점,호프/통닭,제주특별자치도 서귀포시 동홍동 106-5번지 ,https://pcmap.place.naver.com/restaurant/37920408/review/visitor#
73,대윤흑돼지,일반음식점,중국식,제주특별자치도 서귀포시 서귀동 306-4 ,https://pcmap.place.naver.com/restaurant/97127451/review/visitor#
77,우석촌,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 강정동 1914-1번지 ,https://pcmap.place.naver.com/restaurant/37747010/review/visitor#
78,호텔휴식서귀포,일반음식점,기타,제주특별자치도 서귀포시 서귀동 308-2번지 ,https://pcmap.place.naver.com/restaurant/1058525972/review/visitor#
80,사삼구번길,일반음식점,한식,제주특별자치도 서귀포시 서귀동 536-2번지 ,https://pcmap.place.naver.com/restaurant/270578238/review/visitor#
82,우사미,일반음식점,일식,제주특별자치도 서귀포시 대정읍 하모리 2136-4번지 ,https://pcmap.place.naver.com/restaurant/38446427/review/visitor#
83,명품동막골식당,일반음식점,한식,제주특별자치도 서귀포시 안덕면 화순리 1073-2번지 ,https://pcmap.place.naver.com/restaurant/37004956/review/visitor#
85,어랭이나라,일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 257-10번지 ,https://pcmap.place.naver.com/restaurant/1659349111/review/visitor#
86,탐관오리,일반음식점,한식,제주특별자치도 서귀포시 남원읍 남원리 443번지 1층 ,https://pcmap.place.naver.com/restaurant/16943698/review/visitor#
88,일산바지락손칼국수,일반음식점,한식,제주특별자치도 서귀포시 성산읍 신천리 465-2번지 ,https://pcmap.place.naver.com/restaurant/1892887534/review/visitor#
89,오동도아구찜,일반음식점,한식,"제주특별자치도 서귀포시 서귀동 279-5번지 , 1층 ",https://pcmap.place.naver.com/restaurant/1374334089/review/visitor#
90,면맛에입맛이좋아,일반음식점,분식,제주특별자치도 서귀포시 성산읍 수산리 251-1번지 ,https://pcmap.place.naver.com/restaurant/1349786099/review/visitor#
92,유박사참숯갈비,일반음식점,한식,"제주특별자치도 서귀포시 서호동 1552-4번지 , 1층 ",https://pcmap.place.naver.com/restaurant/1937983380/review/visitor#
96,흑도세기숯불친구,일반음식점,한식,제주특별자치도 서귀포시 동홍동 1303 ,https://pcmap.place.naver.com/restaurant/16915693/review/visitor#
97,제주민주공화국,일반음식점,한식,제주특별자치도 서귀포시 안덕면 사계리 2032-34 ,https://pcmap.place.naver.com/restaurant/1121813285/review/visitor#
99,봉기네깡통구이,일반음식점,한식,제주특별자치도 서귀포시 성산읍 고성리 338-3번지 ,https://pcmap.place.naver.com/restaurant/1180683480/review/visitor#
101,올레칠돈,일반음식점,한식,제주특별자치도 서귀포시 월평동 476-7번지 ,https://pcmap.place.naver.com/restaurant/37687253/review/visitor#
104,이가곰탕,일반음식점,한식,제주특별자치도 서귀포시 안덕면 창천리 777-12번지 ,https://pcmap.place.naver.com/restaurant/36660377/review/visitor#
105,정체불명,일반음식점,일식,제주특별자치도 서귀포시 성산읍 삼달리 453-3번지 ,https://pcmap.place.naver.com/restaurant/1282162525/review/visitor#
106,미로객잔,일반음식점,한식,제주특별자치도 서귀포시 표선면 가시리 3017번지 ,https://pcmap.place.naver.com/restaurant/35575795/review/visitor#
107,다미야 서귀포점,일반음식점,정종/대포집/소주방,제주특별자치도 서귀포시 서홍동 377-11 ,https://pcmap.place.naver.com/restaurant/38458924/review/visitor#
108,코데인커피로스터스,일반음식점,기타,제주특별자치도 서귀포시 안덕면 사계리 2880-3번지 ,https://pcmap.place.naver.com/restaurant/1225129827/review/visitor#
109,육지것들,일반음식점,한식,"제주특별자치도 서귀포시 중문동 2128-1번지 A동 5,6호",https://pcmap.place.naver.com/restaurant/1018645495/review/visitor#
110,통족중문점,일반음식점,한식,제주특별자치도 서귀포시 중문동 1655-9번지 ,https://pcmap.place.naver.com/restaurant/1757476526/review/visitor#
114,소희네뚝배기식당,일반음식점,한식,제주특별자치도 서귀포시 성산읍 오조리 369-1번지 ,https://pcmap.place.naver.com/restaurant/16949508/review/visitor#
115,장어먹엉갑소,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 780-1번지 ,https://pcmap.place.naver.com/restaurant/1279219529/review/visitor#
116,중문조림식당,일반음식점,한식,제주특별자치도 서귀포시 중문동 2116-1번지 ,https://pcmap.place.naver.com/restaurant/16927205/review/visitor#
118,하여사국수,일반음식점,한식,제주특별자치도 서귀포시 서귀동 272-1번지 ,https://pcmap.place.naver.com/restaurant/1012228579/review/visitor#
119,일송회수산,일반음식점,회집,제주특별자치도 서귀포시 남원읍 위미리 1760-3번지 ,https://pcmap.place.naver.com/restaurant/13286289/review/visitor#
120,솔동산스토리,일반음식점,기타,제주특별자치도 서귀포시 서귀동 608-2번지 ,https://pcmap.place.naver.com/restaurant/19945266/review/visitor#
121,쿡1015동홍점,일반음식점,한식,제주특별자치도 서귀포시 동홍동 357-7번지 ,https://pcmap.place.naver.com/restaurant/1760756861/review/visitor#
123,고망난돌민박가든,일반음식점,한식,제주특별자치도 서귀포시 성산읍 신천리 79번지 ,https://pcmap.place.naver.com/restaurant/21627312/review/visitor#
125,오돈가,일반음식점,중국식,제주특별자치도 서귀포시 서귀동 154번지 ,https://pcmap.place.naver.com/restaurant/1243094217/review/visitor#
126,원조한라산갈비,일반음식점,한식,제주특별자치도 서귀포시 서귀동 313-10번지 ,https://pcmap.place.naver.com/restaurant/1088852141/review/visitor#
128,옛날통닭중문점,일반음식점,한식,제주특별자치도 서귀포시 중문동 1949-5번지 ,https://pcmap.place.naver.com/restaurant/37885146/review/visitor#
131,꺼멍목장,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 하원동 1633-2번지 ,https://pcmap.place.naver.com/restaurant/466851716/review/visitor#
132,바리골식당,일반음식점,기타,제주특별자치도 서귀포시 성산읍 고성리 298-10번지 ,https://pcmap.place.naver.com/restaurant/1689615980/review/visitor#
135,런던1972,일반음식점,호프/통닭,제주특별자치도 서귀포시 상예동 1757-7번지 ,https://pcmap.place.naver.com/restaurant/273888967/review/visitor#
136,용순이네,일반음식점,한식,제주특별자치도 서귀포시 성산읍 성산리 140-4번지 1층 ,https://pcmap.place.naver.com/restaurant/937596281/review/visitor#
137,리촐리,일반음식점,경양식,제주특별자치도 서귀포시 서호동 356번지 1층 ,https://pcmap.place.naver.com/restaurant/1777854789/review/visitor#
142,상구통닭제주영어교육도시점,일반음식점,기타,제주특별자치도 서귀포시 대정읍 구억리 1004 ,https://pcmap.place.naver.com/restaurant/1232725695/review/visitor#
145,천지연전복해물뚝배기갈치요리전문,일반음식점,회집,제주특별자치도 서귀포시 서홍동 678번지 ,https://pcmap.place.naver.com/restaurant/16918507/review/visitor#
148,네거리식당,일반음식점,한식,제주특별자치도 서귀포시 서귀동 320-9 ,https://pcmap.place.naver.com/restaurant/19873758/review/visitor#
150,부부동원식당,일반음식점,한식,제주특별자치도 서귀포시 성산읍 신산리 1100-2번지 ,https://pcmap.place.naver.com/restaurant/1963437984/review/visitor#
154,더웨이팅,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 1470 ,https://pcmap.place.naver.com/restaurant/1029848471/review/visitor#
157,한옥집돈삼겹,일반음식점,한식,"제주특별자치도 서귀포시 강정동 207-15번지 ,1층 ",https://pcmap.place.naver.com/restaurant/1250134759/review/visitor#
158,박초밥안덕점,일반음식점,한식,"제주특별자치도 서귀포시 안덕면 창천리 153-6 ,1층 ",https://pcmap.place.naver.com/restaurant/1409270802/review/visitor#
159,위미항활어회센터,일반음식점,횟집,제주특별자치도 서귀포시 남원읍 위미리 1757-12 ,https://pcmap.place.naver.com/restaurant/37873378/review/visitor#
163,신촌수제비,일반음식점,한식,제주특별자치도 서귀포시 서귀동 408-7번지 ,https://pcmap.place.naver.com/restaurant/16966762/review/visitor#
164,중문시민갈비,일반음식점,한식,제주특별자치도 서귀포시 중문동 2163-3번지 ,https://pcmap.place.naver.com/restaurant/37632235/review/visitor#
166,흑돈퍼주는집,일반음식점,한식,제주특별자치도 서귀포시 강정동 4400-11 ,https://pcmap.place.naver.com/restaurant/16930412/review/visitor#
167,우리마식당,일반음식점,한식,제주특별자치도 서귀포시 표선면 성읍리 687-3번지 ,https://pcmap.place.naver.com/restaurant/16963502/review/visitor#
170,물허벅집,일반음식점,한식,제주특별자치도 서귀포시 표선면 성읍리 830-1번지 ,https://pcmap.place.naver.com/restaurant/19886231/review/visitor#
172,땡겨불닭,일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 256-20번지 ,https://pcmap.place.naver.com/restaurant/1285349686/review/visitor#
173,오버더윈도우,일반음식점,기타,제주특별자치도 서귀포시 서귀동 446-3번지 ,https://pcmap.place.naver.com/restaurant/38310210/review/visitor#
175,꼬동꼬동,일반음식점,기타,제주특별자치도 서귀포시 남원읍 위미리 165-4번지 ,https://pcmap.place.naver.com/restaurant/1581736406/review/visitor#
177,나그네분식,일반음식점,분식,제주특별자치도 서귀포시 성산읍 고성리 1179-2번지 ,https://pcmap.place.naver.com/restaurant/16952435/review/visitor#
178,고은물식당,일반음식점,한식,제주특별자치도 서귀포시 안덕면 화순리 645-1 ,https://pcmap.place.naver.com/restaurant/13069371/review/visitor#
179,막걸리한잔,일반음식점,한식,제주특별자치도 서귀포시 중문동 1430-4 ,https://pcmap.place.naver.com/restaurant/1091713364/review/visitor#
182,멋진녀석들,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 41번지 ,https://pcmap.place.naver.com/restaurant/38325571/review/visitor#
187,속풀이해장국,일반음식점,호프/통닭,제주특별자치도 서귀포시 표선면 표선리 851번지 ,https://pcmap.place.naver.com/restaurant/38710958/review/visitor#
189,시골촌,일반음식점,한식,제주특별자치도 서귀포시 성산읍 고성리 1106-24번지 ,https://pcmap.place.naver.com/restaurant/16952091/review/visitor#
191,미성원,일반음식점,횟집,제주특별자치도 서귀포시 표선면 표선리 609 ,https://pcmap.place.naver.com/restaurant/38275426/review/visitor#
193,남원흑돼지연탄골목,일반음식점,한식,제주특별자치도 서귀포시 남원읍 남원리 2317-20 ,https://pcmap.place.naver.com/restaurant/1805575346/review/visitor#
200,운정이네본점,일반음식점,한식,제주특별자치도 서귀포시 중문동 1239-5번지 ,https://pcmap.place.naver.com/restaurant/36876360/review/visitor#
203,어랑어랑,일반음식점,한식,제주특별자치도 서귀포시 안덕면 사계리 2032-23번지 ,https://pcmap.place.naver.com/restaurant/1806845838/review/visitor#
204,온평바다한그릇,일반음식점,호프/통닭,제주특별자치도 서귀포시 성산읍 온평리 1192-1번지 ,https://pcmap.place.naver.com/restaurant/1397321112/review/visitor#
205,로컬크랩,일반음식점,기타,제주특별자치도 서귀포시 표선면 하천리 2011 ,https://pcmap.place.naver.com/restaurant/307299913/review/visitor#
207,1958빈티지,일반음식점,기타,제주특별자치도 서귀포시 대정읍 보성리 441번지 ,https://pcmap.place.naver.com/restaurant/1886055164/review/visitor#
211,참치코지,일반음식점,일식,제주특별자치도 서귀포시 강정동 208-7번지 2층 202호,https://pcmap.place.naver.com/restaurant/1867563356/review/visitor#
212,본죽엔비빔밥까페제주강정점,일반음식점,한식,제주특별자치도 서귀포시 강정동 208-1번지 ,https://pcmap.place.naver.com/restaurant/1492822022/review/visitor#
214,기억나는집,일반음식점,한식,제주특별자치도 서귀포시 서귀동 486-4 ,https://pcmap.place.naver.com/restaurant/16966744/review/visitor#
215,동네포차앤치킨,일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 332-59번지 ,https://pcmap.place.naver.com/restaurant/1021870508/review/visitor#
216,쇠소깍대박밥상,일반음식점,한식,제주특별자치도 서귀포시 남원읍 하례리 347-3번지 ,https://pcmap.place.naver.com/restaurant/191137085/review/visitor#
222,올댓비어,일반음식점,호프/통닭,제주특별자치도 서귀포시 대정읍 하모리 945-1번지 ,https://pcmap.place.naver.com/restaurant/21578094/review/visitor#
223,서귀포월드컵리조트,일반음식점,뷔페식,제주특별자치도 서귀포시 법환동 978 ,https://pcmap.place.naver.com/restaurant/36339515/review/visitor#
225,정원꼬리곰탕,일반음식점,한식,제주특별자치도 서귀포시 성산읍 고성리 1745-2번지 ,https://pcmap.place.naver.com/restaurant/37941877/review/visitor#
226,집밥풍년,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 1010-7번지 ,https://pcmap.place.naver.com/restaurant/1164213564/review/visitor#
227,스타트하우스,일반음식점,한식,제주특별자치도 서귀포시 안덕면 상천리 산 62-3번지 ,https://pcmap.place.naver.com/restaurant/34240640/review/visitor#
229,돈둥지,일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 279-1번지 ,https://pcmap.place.naver.com/restaurant/38711079/review/visitor#
230,미향해장국표선점,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 1461-1 ,https://pcmap.place.naver.com/restaurant/37220592/review/visitor#
231,새연교횟집,일반음식점,회집,제주특별자치도 서귀포시 서귀동 633-4번지 ,https://pcmap.place.naver.com/restaurant/1513732864/review/visitor#
234,색달돈가,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 색달동 1875-5번지 ,https://pcmap.place.naver.com/restaurant/1929789003/review/visitor#
237,산동성,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 강정동 148-8 ,https://pcmap.place.naver.com/restaurant/1789890841/review/visitor#
238,흑사돈,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 500-1번지 ,https://pcmap.place.naver.com/restaurant/866050965/review/visitor#
239,최네집성산점,일반음식점,일식,제주특별자치도 서귀포시 성산읍 성산리 358-3번지 ,https://pcmap.place.naver.com/restaurant/1346498747/review/visitor#
241,영풍해장국,일반음식점,한식,제주특별자치도 서귀포시 대정읍 하모리 939-2번지 ,https://pcmap.place.naver.com/restaurant/37159321/review/visitor#
243,야자나라,일반음식점,기타,제주특별자치도 서귀포시 강정동 609-1번지 ,https://pcmap.place.naver.com/restaurant/1014453611/review/visitor#
248,김삿갓보쌈족발,일반음식점,한식,제주특별자치도 서귀포시 서귀동 295-45번지 ,https://pcmap.place.naver.com/restaurant/32048252/review/visitor#
256,나원회포차,일반음식점,회집,제주특별자치도 서귀포시 서귀동 254-6번지 ,https://pcmap.place.naver.com/restaurant/33210988/review/visitor#
257,권가네올레김밥,일반음식점,분식,제주특별자치도 서귀포시 서홍동 285-3번지 ,https://pcmap.place.naver.com/restaurant/1308745944/review/visitor#
260,토크쇼천지점,일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 319-5번지 ,https://pcmap.place.naver.com/restaurant/44641390/review/visitor#
261,송가네참숯가든,일반음식점,한식,제주특별자치도 서귀포시 남원읍 남원리 1594번지 ,https://pcmap.place.naver.com/restaurant/13067987/review/visitor#
263,풍향가든,일반음식점,한식,제주특별자치도 서귀포시 강정동 851-5번지 ,https://pcmap.place.naver.com/restaurant/13392235/review/visitor#
264,금복주,일반음식점,한식,제주특별자치도 서귀포시 동홍동 357-7번지 ,https://pcmap.place.naver.com/restaurant/20777064/review/visitor#
265,만추,일반음식점,한식,제주특별자치도 서귀포시 강정동 5508번지 ,https://pcmap.place.naver.com/restaurant/1022315944/review/visitor#
266,동광가든,일반음식점,한식,제주특별자치도 서귀포시 안덕면 동광리 1588-1번지 ,https://pcmap.place.naver.com/restaurant/16959372/review/visitor#
269,바떼온,일반음식점,기타,제주특별자치도 서귀포시 남원읍 신흥리 90-1번지 ,https://pcmap.place.naver.com/restaurant/753671165/review/visitor#
270,송가네순대국밥,일반음식점,한식,제주특별자치도 서귀포시 회수동 441-2번지 ,https://pcmap.place.naver.com/restaurant/1069167800/review/visitor#
271,믿음정육식당,일반음식점,한식,제주특별자치도 서귀포시 서홍동 321-1 ,https://pcmap.place.naver.com/restaurant/1624618954/review/visitor#
277,소소담,일반음식점,한식,제주특별자치도 서귀포시 상효동 916-8 ,https://pcmap.place.naver.com/restaurant/1366051940/review/visitor#
282,청개구리식당,일반음식점,기타,제주특별자치도 서귀포시 대정읍 무릉리 815-5 ,https://pcmap.place.naver.com/restaurant/1275241663/review/visitor#
283,조선드립480,일반음식점,한식,제주특별자치도 서귀포시 표선면 성읍리 987-1번지 제10호 ,https://pcmap.place.naver.com/restaurant/1860699313/review/visitor#
284,글라몬딱,일반음식점,한식,,https://pcmap.place.naver.com/restaurant/882119676/review/visitor#
285,신례토종닭식당,일반음식점,한식,제주특별자치도 서귀포시 남원읍 신례리 2162-50번지 ,https://pcmap.place.naver.com/restaurant/20539567/review/visitor#
286,초계명가,일반음식점,한식,제주특별자치도 서귀포시 안덕면 창천리 885-5번지 ,https://pcmap.place.naver.com/restaurant/927182656/review/visitor#
288,산방흑돼지순대영어교육도시점,일반음식점,한식,제주특별자치도 서귀포시 대정읍 보성리 2476-10번지 B동 106호,https://pcmap.place.naver.com/restaurant/1776286598/review/visitor#
289,동호갈비,일반음식점,한식,제주특별자치도 서귀포시 중문동 2060-1 1층 ,https://pcmap.place.naver.com/restaurant/1593219127/review/visitor#
290,우리집정식,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 서홍동 290-21번지 ,https://pcmap.place.naver.com/restaurant/16918421/review/visitor#
292,사계해녀의집,일반음식점,한식,제주특별자치도 서귀포시 안덕면 사계리 2147-30번지 ,https://pcmap.place.naver.com/restaurant/1387655195/review/visitor#
293,도가촌,일반음식점,한식,제주특별자치도 서귀포시 동홍동 64-6번지 ,https://pcmap.place.naver.com/restaurant/37804051/review/visitor#
294,처가집연탄구이,일반음식점,한식,제주특별자치도 서귀포시 하효동 188번지 ,https://pcmap.place.naver.com/restaurant/32169090/review/visitor#
295,라울,일반음식점,호프/통닭,제주특별자치도 서귀포시 안덕면 창천리 844-19번지 ,https://pcmap.place.naver.com/restaurant/1264263152/review/visitor#
297,돈블랙올레시장점,일반음식점,한식,제주특별자치도 서귀포시 서귀동 255-13 ,https://pcmap.place.naver.com/restaurant/1880758258/review/visitor#
299,사일팔(418),일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 418번지 ,https://pcmap.place.naver.com/restaurant/38278802/review/visitor#
302,해당화,일반음식점,까페,제주특별자치도 서귀포시 서귀동 276-6번지 ,https://pcmap.place.naver.com/restaurant/37623578/review/visitor#
304,에르미타주,일반음식점,경양식,제주특별자치도 서귀포시 강정동 150-13번지 ,https://pcmap.place.naver.com/restaurant/1791615972/review/visitor#
307,마농비어,일반음식점,기타,제주특별자치도 서귀포시 남원읍 남원리 99-3번지 ,https://pcmap.place.naver.com/restaurant/1542513504/review/visitor#
311,찰스앤바비,일반음식점,라이브카페,제주특별자치도 서귀포시 대포동 1695 ,https://pcmap.place.naver.com/restaurant/1920856558/review/visitor#
312,동백화로,일반음식점,한식,제주특별자치도 서귀포시 동홍동 107-6번지 ,https://pcmap.place.naver.com/restaurant/1504748261/review/visitor#
313,임숙현돼지주물럭,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 1373-1번지 ,https://pcmap.place.naver.com/restaurant/307012521/review/visitor#
315,만복민물장어,일반음식점,한식,제주특별자치도 서귀포시 남원읍 남원리 122-5 ,https://pcmap.place.naver.com/restaurant/1538693442/review/visitor#
316,올래국수서귀포점,일반음식점,한식,제주특별자치도 서귀포시 서귀동 432-8번지 ,https://pcmap.place.naver.com/restaurant/38703215/review/visitor#
319,탐라만찬,일반음식점,뷔페식,제주특별자치도 서귀포시 상예동 2802번지 2층 ,https://pcmap.place.naver.com/restaurant/1480232748/review/visitor#
322,장수마을밥상,일반음식점,한식,제주특별자치도 서귀포시 동홍동 648-4번지 ,https://pcmap.place.naver.com/restaurant/19495519/review/visitor#
323,일광회센터,일반음식점,일식,제주특별자치도 서귀포시 중문동 2175번지 ,https://pcmap.place.naver.com/restaurant/16927994/review/visitor#
325,명원정,일반음식점,한식,제주특별자치도 서귀포시 대정읍 상모리 3979-15번지 ,https://pcmap.place.naver.com/restaurant/16935213/review/visitor#
327,마라도에서,일반음식점,중국식,제주특별자치도 서귀포시 대정읍 가파리 589번지 ,https://pcmap.place.naver.com/restaurant/1354847150/review/visitor#
330,미가족발,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 서홍동 342-5 ,https://pcmap.place.naver.com/restaurant/1301855871/review/visitor#
331,빨간대게,일반음식점,한식,제주특별자치도 서귀포시 동홍동 536-7번지 1층 ,https://pcmap.place.naver.com/restaurant/1420715890/review/visitor#
333,해녀의숨비소리,일반음식점,한식,제주특별자치도 서귀포시 하예동 1862번지 1층 ,https://pcmap.place.naver.com/restaurant/1196220222/review/visitor#
337,바당포구,일반음식점,한식,제주특별자치도 서귀포시 대정읍 하모리 770-8 1층 ,https://pcmap.place.naver.com/restaurant/1099997968/review/visitor#
340,꽃가람,일반음식점,한식,,https://pcmap.place.naver.com/restaurant/514292398/review/visitor#
342,제주푸드트립,일반음식점,한식,제주특별자치도 서귀포시 색달동 2512번지 그랑빌 1층 시내루동 ,https://pcmap.place.naver.com/restaurant/1197261886/review/visitor#
343,화전민촌,일반음식점,한식,제주특별자치도 서귀포시 성산읍 고성리 1003-3번지 ,https://pcmap.place.naver.com/restaurant/1022676049/review/visitor#
344,다이닝펍휴,일반음식점,한식,제주특별자치도 서귀포시 안덕면 사계리 983-1번지 1층 2호,https://pcmap.place.naver.com/restaurant/1039606582/review/visitor#
348,해선락와사비남원태흥점,일반음식점,횟집,제주특별자치도 서귀포시 남원읍 태흥리 1075-9 ,https://pcmap.place.naver.com/restaurant/1737596146/review/visitor#
349,신촌흑돼지강정,일반음식점,한식,제주특별자치도 서귀포시 서귀동 274-2번지 ,https://pcmap.place.naver.com/restaurant/1304452977/review/visitor#
350,돌샘호프,일반음식점,일식,제주특별자치도 서귀포시 서귀동 485-14번지 ,https://pcmap.place.naver.com/restaurant/1264539120/review/visitor#
352,제리스펍,일반음식점,경양식,제주특별자치도 서귀포시 서귀동 716-5번지 ,https://pcmap.place.naver.com/restaurant/205326161/review/visitor#
353,땡큐소주방,일반음식점,한식,제주특별자치도 서귀포시 서귀동 306-4번지 ,https://pcmap.place.naver.com/restaurant/1472617822/review/visitor#
354,글라글라하와이,일반음식점,경양식,제주특별자치도 서귀포시 대정읍 하모리 770-2번지 ,https://pcmap.place.naver.com/restaurant/38712171/review/visitor#
