,사업장명,업종구분대분류,업종구분소분류,소재지전체주소,naver_map_url
2058,갈치공장,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 구좌읍 평대리 4-49 ,https://pcmap.place.naver.com/restaurant/1730875080/review/visitor#
2059,리크커피,휴게음식점,커피숍,제주특별자치도 제주시 이도이동 1953-6번지 ,https://pcmap.place.naver.com/restaurant/1398948104/review/visitor#
2061,지에스25제주대흘점,휴게음식점,편의점,제주특별자치도 제주시 조천읍 대흘리 1611-1번지 ,https://pcmap.place.naver.com/restaurant/1016807295/review/visitor#
2066,제주탐라만두,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 한림읍 협재리 2447-27 ,https://pcmap.place.naver.com/restaurant/1621501919/review/visitor#
2068,뽕꼬랑김밥,휴게음식점,일반조리판매,제주특별자치도 제주시 용담이동 597-2번지 ,https://pcmap.place.naver.com/restaurant/1985935298/review/visitor#
2069,카페수블리,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 조천읍 와산리 1642-1번지 ,https://pcmap.place.naver.com/restaurant/1749063777/review/visitor#
2072,에이바우트첨단점,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 영평동 2169-17 ,https://pcmap.place.naver.com/restaurant/1565829988/review/visitor#
2073,우연히그곳,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 구좌읍 송당리 1370-3번지 ,https://pcmap.place.naver.com/restaurant/1405476691/review/visitor#
2074,번영김밥,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 봉개동 1902번지 ,https://pcmap.place.naver.com/restaurant/1879786273/review/visitor#
2078,씨유제주하도점,휴게음식점,편의점,제주특별자치도 제주시 구좌읍 하도리 1488-5번지 ,https://pcmap.place.naver.com/restaurant/1572094694/review/visitor#
2079,지에스25제주중앙여중점,휴게음식점,편의점,제주특별자치도 제주시 삼도이동 598-20번지 신영빌라 ,https://pcmap.place.naver.com/restaurant/36210214/review/visitor#
2080,세븐일레븐제주여중고점,휴게음식점,편의점,제주특별자치도 제주시 아라일동 2382-3번지 ,https://pcmap.place.naver.com/restaurant/1767237606/review/visitor#
2081,타임스탬프,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 조천읍 신촌리 1786번지 ,https://pcmap.place.naver.com/restaurant/1285262181/review/visitor#
2082,씨유도남대림점,휴게음식점,편의점,제주특별자치도 제주시 도남동 905-6번지 ,https://pcmap.place.naver.com/restaurant/31020865/review/visitor#
2083,로이셀세화,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 구좌읍 세화리 1488-1번지 ,https://pcmap.place.naver.com/restaurant/1723237067/review/visitor#
2086,와랑식탁,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 한경면 신창리 1317-1 ,https://pcmap.place.naver.com/restaurant/1126427625/review/visitor#
2088,헤이피피,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 한경면 판포리 2869-3번지 ,https://pcmap.place.naver.com/restaurant/1420266277/review/visitor#
2089,쓰쓰카페,휴게음식점,커피숍,제주특별자치도 제주시 한경면 신창리 1054-4번지 ,https://pcmap.place.naver.com/restaurant/1522865820/review/visitor#
2093,라이드원,휴게음식점,커피숍,제주특별자치도 제주시 오라이동 1552-5번지 ,https://pcmap.place.naver.com/restaurant/1502790470/review/visitor#
2094,쉬리니케이크,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 애월읍 납읍리 2282-7번지 ,https://pcmap.place.naver.com/restaurant/1056545447/review/visitor#
2097,바삭2번출구,휴게음식점,일반조리판매,제주특별자치도 제주시 일도일동 1144-7번지 ,https://pcmap.place.naver.com/restaurant/1966204244/review/visitor#
2098,똘이장군애견샾,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 용담일동 2824번지 ,https://pcmap.place.naver.com/restaurant/1337683830/review/visitor#
2101,지에스제주아라점,휴게음식점,편의점,제주특별자치도 제주시 아라일동 6082-2번지 ,https://pcmap.place.naver.com/restaurant/16773002/review/visitor#
2104,지에스25제주협재점,휴게음식점,편의점,제주특별자치도 제주시 한림읍 협재리 2514-2번지 ,https://pcmap.place.naver.com/restaurant/1124797842/review/visitor#
2105,설심당노형점,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 노형동 2574-2번지 ,https://pcmap.place.naver.com/restaurant/1641996506/review/visitor#
2109,씨유제주크라운점,휴게음식점,편의점,제주특별자치도 제주시 연동 268-1번지 ,https://pcmap.place.naver.com/restaurant/16838990/review/visitor#
