Column1,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
3589,더스푼,더스푼제주특별자치도 제주시 구남동1길 45,일반음식점,기타,제주특별자치도 제주시 구남동1길 45,
3590,고고맥주,고고맥주제주특별자치도 제주시 월랑로8길 1,일반음식점,기타,제주특별자치도 제주시 월랑로8길 1,
3591,섬채,섬채제주특별자치도 제주시 오라로 61,일반음식점,뷔페식,제주특별자치도 제주시 오라로 61,
3592,너는봄,너는봄제주특별자치도 제주시 구좌읍 해맞이해안로 997,일반음식점,중국식,제주특별자치도 제주시 구좌읍 해맞이해안로 997,
3593,서황,서황제주특별자치도 제주시 애월읍 장소로 205-2,일반음식점,한식,제주특별자치도 제주시 애월읍 장소로 205-2,
3594,이가네찜닭치킨,이가네찜닭치킨제주특별자치도 제주시 정존11길 30,일반음식점,한식,제주특별자치도 제주시 정존11길 30,
3595,오렌지나무,오렌지나무제주특별자치도 제주시 설촌로10길 25,일반음식점,한식,제주특별자치도 제주시 설촌로10길 25,
3596,제주더봉봉,제주더봉봉제주특별자치도 제주시 조천읍 함와로 566-27,일반음식점,한식,제주특별자치도 제주시 조천읍 함와로 566-27,
3597,투다리정든점,투다리정든점제주특별자치도 제주시 달마루길 12 (노형동),일반음식점,통닭(치킨),제주특별자치도 제주시 달마루길 12 (노형동),
3598,한양춘향연화점,한양춘향연화점제주특별자치도 제주시 연화중길 19,일반음식점,한식,제주특별자치도 제주시 연화중길 19,
3599,탄트라,탄트라제주특별자치도 제주시 애월읍 애월해안로 394,일반음식점,경양식,제주특별자치도 제주시 애월읍 애월해안로 394,
3600,응그레,응그레제주특별자치도 제주시 아란7길 46,일반음식점,기타,제주특별자치도 제주시 아란7길 46,
3601,가야포도원,가야포도원제주특별자치도 제주시 봉개대동4길 11,일반음식점,한식,제주특별자치도 제주시 봉개대동4길 11,
3602,미시까,미시까제주특별자치도 제주시 조천읍 신북로 537-1,일반음식점,기타,제주특별자치도 제주시 조천읍 신북로 537-1,
3603,상임이네스페샬,상임이네스페샬제주특별자치도 제주시 오도1길 7,일반음식점,호프/통닭,제주특별자치도 제주시 오도1길 7,
3604,다원우,다원우제주특별자치도 제주시 우령6길 75-1,일반음식점,식육(숯불구이),제주특별자치도 제주시 우령6길 75-1,
3605,금악정육식당,,일반음식점,식육(숯불구이),,
3606,치느치느치킨,치느치느치킨제주특별자치도 제주시 다랑곶길 34,일반음식점,통닭(치킨),제주특별자치도 제주시 다랑곶길 34,
3607,우곱창,우곱창제주특별자치도 제주시 우정로8길 6,일반음식점,한식,제주특별자치도 제주시 우정로8길 6,
3608,(주)미라클,(주)미라클제주특별자치도 제주시 서해안로 346-14,일반음식점,한식,제주특별자치도 제주시 서해안로 346-14,
3609,해물창고,해물창고제주특별자치도 제주시 한림읍 한림북동길 7,일반음식점,한식,제주특별자치도 제주시 한림읍 한림북동길 7,
3610,라쁠라주,라쁠라주제주특별자치도 제주시 서해안로 518,일반음식점,분식,제주특별자치도 제주시 서해안로 518,
3611,옥돌해장국,옥돌해장국제주특별자치도 제주시 인다5길 11-16,일반음식점,통닭(치킨),제주특별자치도 제주시 인다5길 11-16,
3612,호텔샌드,호텔샌드제주특별자치도 제주시 한림읍 한림로 339,일반음식점,까페,제주특별자치도 제주시 한림읍 한림로 339,
3613,서흘포가든서사라점,서흘포가든서사라점제주특별자치도 제주시 서사로 175,일반음식점,식육(숯불구이),제주특별자치도 제주시 서사로 175,
3614,우림푸드,우림푸드제주특별자치도 제주시 애월읍 애월해안로 917,일반음식점,뷔페식,제주특별자치도 제주시 애월읍 애월해안로 917,
3615,콩이네,콩이네제주특별자치도 제주시 용담로 85-1,일반음식점,한식,제주특별자치도 제주시 용담로 85-1,
3616,SG스크린골프광양점,SG스크린골프광양점제주특별자치도 제주시 중앙로 187,일반음식점,한식,제주특별자치도 제주시 중앙로 187,
3617,선미뷔페,선미뷔페제주특별자치도 제주시 만덕로3길 11,일반음식점,한식,제주특별자치도 제주시 만덕로3길 11,
3618,왓덮,왓덮제주특별자치도 제주시 동한두기길 9,일반음식점,한식,제주특별자치도 제주시 동한두기길 9,
3619,나의작은주방돈까스집,나의작은주방돈까스집제주특별자치도 제주시 인다7길 12,일반음식점,한식,제주특별자치도 제주시 인다7길 12,
3620,가식,가식제주특별자치도 제주시 조천읍 조천북1길 33,일반음식점,한식,제주특별자치도 제주시 조천읍 조천북1길 33,
3621,도두포차,도두포차제주특별자치도 제주시 서해안로 146,일반음식점,호프/통닭,제주특별자치도 제주시 서해안로 146,
3622,제주안방갈비,제주안방갈비제주특별자치도 제주시 오남로 7-13,일반음식점,기타,제주특별자치도 제주시 오남로 7-13,
3623,낙지로,낙지로제주특별자치도 제주시 신대로12길 19,일반음식점,한식,제주특별자치도 제주시 신대로12길 19,
3624,불닭공장삼화점,불닭공장삼화점제주특별자치도 제주시 동화로1길 53-14,일반음식점,통닭(치킨),제주특별자치도 제주시 동화로1길 53-14,
3625,아빠부엌,아빠부엌제주특별자치도 제주시 우령2길 11,일반음식점,한식,제주특별자치도 제주시 우령2길 11,
3626,체크인,체크인제주특별자치도 제주시 임항로 28,일반음식점,기타,제주특별자치도 제주시 임항로 28,
3627,대흘퐁낭식당,대흘퐁낭식당제주특별자치도 제주시 조천읍 중산간동로 644,일반음식점,한식,제주특별자치도 제주시 조천읍 중산간동로 644,
3628,을찌로국물떡볶이연동점,을찌로국물떡볶이연동점제주특별자치도 제주시 신대로14길 49,일반음식점,분식,제주특별자치도 제주시 신대로14길 49,
3629,몬딹,몬딹제주특별자치도 제주시 도령로13길 15,일반음식점,한식,제주특별자치도 제주시 도령로13길 15,
3630,앰버,앰버제주특별자치도 제주시 연삼로 515,일반음식점,라이브카페,제주특별자치도 제주시 연삼로 515,
