,name,upjong,address,category,rat_count,rat_avg,Latitude,Longitude
46,노형한빛식당,한식,"제주특별자치도 제주시 애월읍 유수암평화5길 88, 1층",애월읍,6,4.916666667,33.424382,126.40516869999999
47,쿠오모,기타,"제주특별자치도 제주시 애월읍 구엄동1길 7, 1층",애월읍,10,4.05,33.4756784,126.3778351
48,블루사이공,한식,"제주특별자치도 제주시 애월읍 중산간서로 6333, 2층",애월읍,10,4.65,33.4577429,126.4081487
49,쏘렐라,한식,"제주특별자치도 제주시 애월읍 애상로 87, 1층",애월읍,10,4.8,33.457827,126.332473
50,소문난맛집,한식,"제주특별자치도 제주시 애월읍 애월해안로 945-2, 1층",애월읍,10,5.0,33.4836152,126.39650990000001
51,어머니의뜻을담다단지,경양식,"제주특별자치도 제주시 애월읍 하귀2길 66, 1층",애월읍,10,4.3,33.489338599999996,126.4119402
52,후카후카,한식,"제주특별자치도 제주시 애월읍 항파두리로 148, 1층",애월읍,10,4.8,33.4520718,126.40773659999999
53,요시노,일식,"제주특별자치도 제주시 애월읍 고성남서길 7, 1층",애월읍,10,4.0,33.4285926,126.42209380000001
54,따뜻한밥상,한식,"제주특별자치도 제주시 애월읍 곽지1길 3-2, 1층",애월읍,9,4.555555556,33.446402,126.305155
55,칠사돈한담점,한식,"제주특별자치도 제주시 애월읍 애월로 37, 1층",애월읍,106,4.2547169810000005,33.4621883,126.31233049999999
56,마농애월점,한식,"제주특별자치도 제주시 애월읍 애월해안로 881, 1층",애월읍,2,5.0,33.4782235,126.3665625
57,애월국수,한식,"제주특별자치도 제주시 애월읍 애월로 106-1, 1층 제1호",애월읍,18,4.472222222,33.4644349,126.318555
58,바삭애월해안도로점,기타,"제주특별자치도 제주시 애월읍 애월해안로 724, 1층",애월읍,121,4.334710744,33.4840035,126.37821310000001
59,탐라해동밥상,한식,"제주특별자치도 제주시 애월읍 광상로 323-16, 1층",애월읍,24,4.708333333,33.442573200000005,126.3989656
60,제주갈매기,한식,"제주특별자치도 제주시 애월읍 하광로 17, 1층",애월읍,10,4.75,33.462194399999994,126.4227085
61,잇수다,경양식,"제주특별자치도 제주시 애월읍 고내로7길 46-1, 1층",애월읍,10,5.0,33.466902000000005,126.33764029999999
62,홀가분가든,한식,"제주특별자치도 제주시 애월읍 광령중길 133-2, 1층",애월읍,8,4.5625,33.4538948,126.4351433
63,산들촌,한식,"제주특별자치도 제주시 애월읍 평화로 2751, 1층",애월읍,2,4.25,33.4222395,126.40925320000001
64,화돗,기타,"제주특별자치도 제주시 애월읍 하광로 15, 1층",애월읍,9,4.444444444,33.462194399999994,126.4227085
65,칠사돈,한식,"제주특별자치도 제주시 애월읍 애월해안로 906, 1층",애월읍,10,5.0,33.484730199999994,126.3921125
