,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
1574,수우동,수우동제주특별자치도 서귀포시 쇠소깍로 186,일반음식점,일식,제주특별자치도 서귀포시 쇠소깍로 186,https://pcmap.place.naver.com/restaurant/1932375149/review/visitor#
1575,날외15,날외15제주특별자치도 서귀포시 대정읍 일과대수로 15,일반음식점,호프/통닭,제주특별자치도 서귀포시 대정읍 일과대수로 15,https://pcmap.place.naver.com/restaurant/1389779272/review/visitor#
1576,포커스,포커스제주특별자치도 서귀포시 예래로 223-7,일반음식점,경양식,제주특별자치도 서귀포시 예래로 223-7,https://pcmap.place.naver.com/restaurant/1579626574/review/visitor#
1578,재리쥬,재리쥬제주특별자치도 서귀포시 표선면 가시로 351-9,일반음식점,호프/통닭,제주특별자치도 서귀포시 표선면 가시로 351-9,https://pcmap.place.naver.com/restaurant/1187271291/review/visitor#
1579,와우카식,와우카식제주특별자치도 서귀포시 태평로 562 (동홍동),일반음식점,한식,제주특별자치도 서귀포시 태평로 562 (동홍동),https://pcmap.place.naver.com/restaurant/1405635158/review/visitor#
1580,소문난우리정식뷔페,소문난우리정식뷔페제주특별자치도 서귀포시 대정읍 보성구억로 208,일반음식점,뷔페식,제주특별자치도 서귀포시 대정읍 보성구억로 208,https://pcmap.place.naver.com/restaurant/1480746514/review/visitor#
1581,누구나홀딱반한닭제주성산점,누구나홀딱반한닭제주성산점제주특별자치도 서귀포시 성산읍 일주동로 4236,일반음식점,호프/통닭,제주특별자치도 서귀포시 성산읍 일주동로 4236,https://pcmap.place.naver.com/restaurant/1349108059/review/visitor#
1583,뻘떡낙지서귀포점,뻘떡낙지서귀포점제주특별자치도 서귀포시 이어도로 1059 (서호동),일반음식점,한식,제주특별자치도 서귀포시 이어도로 1059 (서호동),https://pcmap.place.naver.com/restaurant/38003733/review/visitor#
1585,부에난소라하효마을,부에난소라하효마을제주특별자치도 서귀포시 쇠소깍로 151-7,일반음식점,한식,제주특별자치도 서귀포시 쇠소깍로 151-7,https://pcmap.place.naver.com/restaurant/1401017477/review/visitor#
1586,천돈가중문본점,천돈가중문본점제주특별자치도 서귀포시 일주서로 873,일반음식점,한식,제주특별자치도 서귀포시 일주서로 873,https://pcmap.place.naver.com/restaurant/1707288186/review/visitor#
1587,범섬화덕,범섬화덕제주특별자치도 서귀포시 월드컵로 161-1 (강정동),일반음식점,한식,제주특별자치도 서귀포시 월드컵로 161-1 (강정동),https://pcmap.place.naver.com/restaurant/1522422332/review/visitor#
1588,잔디공장,잔디공장제주특별자치도 서귀포시 성산읍 일주동로5154번길 5,일반음식점,"외국음식전문점(인도,태국등)",제주특별자치도 서귀포시 성산읍 일주동로5154번길 5,https://pcmap.place.naver.com/restaurant/1169627676/review/visitor#
1589,오병이어,오병이어제주특별자치도 서귀포시 월드컵로 161-1,일반음식점,한식,제주특별자치도 서귀포시 월드컵로 161-1,https://pcmap.place.naver.com/restaurant/1516030727/review/visitor#
1590,카페덕수리2180,카페덕수리2180제주특별자치도 서귀포시 안덕면 덕수동로25번길 42-8,일반음식점,기타,제주특별자치도 서귀포시 안덕면 덕수동로25번길 42-8,https://pcmap.place.naver.com/restaurant/1939089472/review/visitor#
1591,칸스,칸스제주특별자치도 서귀포시 중정로61번길 20,일반음식점,"외국음식전문점(인도,태국등)",제주특별자치도 서귀포시 중정로61번길 20,https://pcmap.place.naver.com/restaurant/1245083675/review/visitor#
1596,건강한밥집,건강한밥집제주특별자치도 서귀포시 성산읍 난고로 470,일반음식점,한식,제주특별자치도 서귀포시 성산읍 난고로 470,https://pcmap.place.naver.com/restaurant/1220387100/review/visitor#
1597,세화의집,세화의집제주특별자치도 서귀포시 표선면 세성로 303,일반음식점,한식,제주특별자치도 서귀포시 표선면 세성로 303,https://pcmap.place.naver.com/restaurant/16964427/review/visitor#
1598,보래식탁,보래식탁제주특별자치도 서귀포시 이어도로 766 (강정동),일반음식점,분식,제주특별자치도 서귀포시 이어도로 766 (강정동),https://pcmap.place.naver.com/restaurant/1710578416/review/visitor#
1601,아뎅,아뎅제주특별자치도 서귀포시 중앙로71번길 12,일반음식점,중국식,제주특별자치도 서귀포시 중앙로71번길 12,https://pcmap.place.naver.com/restaurant/1672424830/review/visitor#
1603,비에이치씨제주동홍점,비에이치씨제주동홍점제주특별자치도 서귀포시 동홍동로 27,일반음식점,호프/통닭,제주특별자치도 서귀포시 동홍동로 27,https://pcmap.place.naver.com/restaurant/1035840700/review/visitor#
1605,막조아막걸리카페,막조아막걸리카페제주특별자치도 서귀포시 중정로 56,일반음식점,호프/통닭,제주특별자치도 서귀포시 중정로 56,https://pcmap.place.naver.com/restaurant/1047789979/review/visitor#
1606,원앤온리,원앤온리제주특별자치도 서귀포시 안덕면 산방로 141,일반음식점,경양식,제주특별자치도 서귀포시 안덕면 산방로 141,https://pcmap.place.naver.com/restaurant/1256246739/review/visitor#
1607,일차돌제주성산점,일차돌제주성산점제주특별자치도 서귀포시 성산읍 고성오조로 87-8,일반음식점,한식,제주특별자치도 서귀포시 성산읍 고성오조로 87-8,https://pcmap.place.naver.com/restaurant/1182578335/review/visitor#
1608,코코티에,코코티에제주특별자치도 서귀포시 표선면 표선당포로 21-3,일반음식점,경양식,제주특별자치도 서귀포시 표선면 표선당포로 21-3,https://pcmap.place.naver.com/restaurant/1808859945/review/visitor#
