Column1,name,address,Latitude,Longitude,상태
1722205,봄봄화북점,"제주특별자치도 제주시 진동로 55, 1층 (화북일동)",33.52406,126.5674,정좌표
1722213,씨유제주이도광양점,"제주특별자치도 제주시 동광로5길 16, 1층 (이도일동)",33.5031,126.5309,정좌표
1722216,씨유제주일도중앙점,"제주특별자치도 제주시 동광로17길 36, 1층 (일도이동)",33.50978,126.5386,정좌표
1722226,카페진정성종점,"제주특별자치도 제주시 서해안로 124, 1층 (이호일동)",33.50241,126.4623,인근좌표
1722543,프랭크버거제주삼화점,"제주특별자치도 제주시 화삼북로2길 19, 1층 102호 (화북일동)",33.51614,126.5767,인근좌표
1722641,우땅밤,"제주특별자치도 제주시 삼봉로 39, 1동 1층 (도련이동)",33.51785,126.589,정좌표
1722662,아이닉스피씨방,"제주특별자치도 제주시 중앙로 321, 2층 (이도이동)",33.49262,126.5361,정좌표
1722663,세븐일레븐제주월랑점,"제주특별자치도 제주시 월랑로10길 26, 1층 101호 (노형동, 대성빌리지)",33.49037,126.4781,정좌표
1722665,봄봄한북로점,"제주특별자치도 제주시 한북로 132, 1층 (오등동)",33.46338,126.5301,정좌표
1722675,에이바우트커피삼화점,"제주특별자치도 제주시 동화로 56, 1층 (화북일동)",33.51542,126.5727,정좌표
1722751,과일애제주,"제주특별자치도 제주시 남광로 14, 1층 (이도이동)",33.49267,126.5379,정좌표
1722758,피자알볼로노형점,"제주특별자치도 제주시 노형6길 9, 1층 (노형동)",33.48162,126.4781,정좌표
1722867,카페헤이브라운,"제주특별자치도 제주시 아란2길 59, 1층 (아라일동)",33.47212,126.5411,정좌표
1722880,요거프레소신제주점,"제주특별자치도 제주시 과원북4길 61 (연동, 덕양빌딩)",33.48122,126.4882,정좌표
1723032,래빗,"제주특별자치도 제주시 복지로북길 14, 1층 (도남동)",33.48884,126.5217,정좌표
1723075,카페에이밀,"제주특별자치도 제주시 인다9길 33, 1층 (아라일동)",33.47554,126.5488,정좌표
1723108,더아일랜더,"제주특별자치도 제주시 중앙로7길 31, 1층 (일도일동)",33.5149,126.528,정좌표
1723272,소로로마카롱,"제주특별자치도 제주시 설촌로2길 6, 1층 101호 (삼양이동, 씨큐브)",33.52179,126.582,정좌표
1723292,팩토리소란,"제주특별자치도 제주시 한북로 337-5, 지하1층 (아라일동)",33.45583,126.5494,정좌표
1723297,설빙제주아라점,"제주특별자치도 제주시 박성내동길 3, 1층 (아라이동)",33.49396,126.5409,정좌표
1723377,올래국수,"제주특별자치도 제주시 귀아랑길 24, 1층 (연동)",33.49151,126.4973,정좌표
1724638,모앙,"제주특별자치도 제주시 인다5길 12-4, 1층 (아라일동)",33.47593,126.5473,정좌표
1724726,오운커피,"제주특별자치도 제주시 아란11길 23, 1층 (아라일동)",33.47024,126.5413,정좌표
1724751,솔트스톤,"제주특별자치도 제주시 연삼로 495, 1층 (이도이동)",33.50038,126.5425,정좌표
1724853,지에스25삼도동양점,"제주특별자치도 제주시 홍랑길 20, 1층 101호 (삼도일동, 동양맨션)",33.50155,126.5233,정좌표
1724863,아이스크림연구소제주점앤303열정버거,"제주특별자치도 제주시 정존11길 39, 1층 (노형동)",33.48674,126.474,정좌표
1724869,티엔느케이크,"제주특별자치도 제주시 인다4길 41-14, 아라진 1층 (아라일동)",33.47089,126.55,정좌표
1724875,카페7,"제주특별자치도 제주시 용문로 168, 1층 (용담이동)",33.50893,126.5112,정좌표
1724887,원더샌드위치연동점,"제주특별자치도 제주시 귀아랑길 13, 1층 (연동)",33.49222,126.4976,정좌표
1724891,씨유제주한라마을점,"제주특별자치도 제주시 진군남4길 9, 1층 (노형동)",33.47569,126.4804,정좌표
1724896,세븐일레븐제주신설동점,"제주특별자치도 제주시 신설동길 23, 1층 (이도이동)",33.49647,126.5486,정좌표
1724899,씨유제주해밀타운점,"제주특별자치도 제주시 조천읍 신북로 460, 1층 101호",33.54355,126.6595,정좌표
1724919,마마미니,"제주특별자치도 제주시 조천읍 와선로 238, 1층",33.48448,126.698,정좌표
1724929,도그헤븐,"제주특별자치도 제주시 삼무로 74, 2층 (연동)",33.48958,126.4945,정좌표
1724939,씨유제주벤처오름점,"제주특별자치도 제주시 첨단로 199, 엠제이벤처오름 1층 106호 (영평동)",33.45456,126.572,정좌표
1724949,씨유제주건입현대점,"제주특별자치도 제주시 연무정길 20, 1층 (건입동)",33.51712,126.5365,정좌표
1724953,오엘이에프,"제주특별자치도 제주시 조천읍 와흘상길 30, 1,2층",33.49405,126.6333,정좌표
1725167,절물자연휴양림휴게소,"제주특별자치도 제주시 명림로 584, 절물휴양림 1층 (봉개동)",33.4379,126.6261,정좌표
1725266,오마뎅,"제주특별자치도 제주시 아란5길 19-12, 1층 (아라일동)",33.47476,126.5447,정좌표
1725276,스윗카페우도,"제주특별자치도 제주시 우도면 우도로 5-6, 1층",33.49365,126.9511,정좌표
1725280,에어푸드,"제주특별자치도 제주시 공항로 2, 렌트카하우스 1층 (용담이동)",33.50621,126.4964,정좌표
1725290,베트남,"제주특별자치도 제주시 은수길 69, 수목원 테마파크 관광지내 (연동)",33.47065,126.4882,정좌표
1725370,몽돌보롬,"제주특별자치도 제주시 은수길 69, 수목원 테마파크 관광지내 (연동)",33.47065,126.4882,정좌표
1725618,제주이씨,"제주특별자치도 제주시 은수길 69, 수목원 테마파크 관광지 내 (연동)",33.47065,126.4882,정좌표
1725698,와이키키제주,"제주특별자치도 제주시 은수길 69, 수목원 테마파크 관광지 내 (연동)",33.47065,126.4882,정좌표
1726198,원더캣츠,"제주특별자치도 제주시 은수길 69, 수목원 테마파크 관광지 내 (연동)",33.47065,126.4882,정좌표
