,Unnamed: 0,사업장명,업종구분대분류,업종구분소분류,소재지전체주소,naver_map_url
913,914,대유가든,일반음식점,한식,제주특별자치도 서귀포시 남원읍 위미리 4158-2번지 ,https://pcmap.place.naver.com/restaurant/16946005/review/visitor#
914,915,천지연호(好)치킨,일반음식점,통닭(치킨),제주특별자치도 서귀포시 서귀동 648-4 ,https://pcmap.place.naver.com/restaurant/460022718/review/visitor#
915,916,파우자,일반음식점,호프/통닭,"제주특별자치도 서귀포시 서귀동 42번지 , 1층 ",https://pcmap.place.naver.com/restaurant/33373844/review/visitor#
916,917,장승골,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 699 ,https://pcmap.place.naver.com/restaurant/1828785677/review/visitor#
917,918,끌리네오,일반음식점,경양식,제주특별자치도 서귀포시 표선면 성읍리 1631-2번지 1층 ,https://pcmap.place.naver.com/restaurant/1790333798/review/visitor#
918,919,마라도이모네식당,일반음식점,한식,제주특별자치도 서귀포시 대정읍 가파리 731번지 ,https://pcmap.place.naver.com/restaurant/1931329565/review/visitor#
919,920,베이찡,일반음식점,중국식,"제주특별자치도 서귀포시 서귀동 416-2번지 , 2층204,205호 ",https://pcmap.place.naver.com/restaurant/1252315137/review/visitor#
920,921,어린왕자감귤밭,일반음식점,기타,제주특별자치도 서귀포시 대정읍 안성리 1701번지 ,https://pcmap.place.naver.com/restaurant/1269576099/review/visitor#
921,922,오챠드삼달,일반음식점,"외국음식전문점(인도,태국등)",제주특별자치도 서귀포시 성산읍 삼달리 12-1 ,https://pcmap.place.naver.com/restaurant/1377075343/review/visitor#
922,923,쇠소깍불근돼지,일반음식점,한식,제주특별자치도 서귀포시 하효동 1028-3번지 ,https://pcmap.place.naver.com/restaurant/1844310311/review/visitor#
923,924,고래성,일반음식점,한식,"제주특별자치도 서귀포시 안덕면 사계리 2148-1 , 1층 ",https://pcmap.place.naver.com/restaurant/1033050676/review/visitor#
924,925,비스트로오대평,일반음식점,호프/통닭,제주특별자치도 서귀포시 안덕면 창천리 913-1번지 ,https://pcmap.place.naver.com/restaurant/1516654286/review/visitor#
925,926,카페폴린,일반음식점,기타,제주특별자치도 서귀포시 동홍동 286번지 ,https://pcmap.place.naver.com/restaurant/1191653976/review/visitor#
926,927,성산해녀짬뽕,일반음식점,중국식,제주특별자치도 서귀포시 성산읍 성산리 109-2 행운PC방 ,https://pcmap.place.naver.com/restaurant/1160410577/review/visitor#
927,928,객주촌,일반음식점,한식,제주특별자치도 서귀포시 보목동 665-1번지 ,https://pcmap.place.naver.com/restaurant/1677555452/review/visitor#
928,929,복해루,일반음식점,중국식,제주특별자치도 서귀포시 성산읍 성산리 196-5번지 지하 1층 ,https://pcmap.place.naver.com/restaurant/37691396/review/visitor#
929,930,아랑회초밥,일반음식점,일식,"제주특별자치도 서귀포시 서귀동 297-10 , 1층 ",https://pcmap.place.naver.com/restaurant/38665498/review/visitor#
930,931,봉순이네흑돼지,일반음식점,한식,제주특별자치도 서귀포시 대정읍 구억리 1010번지 ,https://pcmap.place.naver.com/restaurant/16934117/review/visitor#
931,932,괸당포차,일반음식점,호프/통닭,"제주특별자치도 서귀포시 서귀동 726-7 , 2층 ",https://pcmap.place.naver.com/restaurant/1220458383/review/visitor#
932,933,고부루키친,일반음식점,패밀리레스트랑,제주특별자치도 서귀포시 서홍동 560번지 1층 ,https://pcmap.place.naver.com/restaurant/1335586145/review/visitor#
933,934,고서방해물탕,일반음식점,한식,제주특별자치도 서귀포시 대정읍 상모리 87-5번지 ,https://pcmap.place.naver.com/restaurant/1604590740/review/visitor#
934,935,여섯번의보름,일반음식점,경양식,제주특별자치도 서귀포시 호근동 1310-1번지 ,https://pcmap.place.naver.com/restaurant/1061101457/review/visitor#
935,936,다카포,일반음식점,패밀리레스트랑,"제주특별자치도 서귀포시 표선면 표선리 820-1번지 , 1,2층 ",https://pcmap.place.naver.com/restaurant/1311350191/review/visitor#
936,937,지니부엌,일반음식점,한식,제주특별자치도 서귀포시 대정읍 하모리 1405-20번지 ,https://pcmap.place.naver.com/restaurant/1208746671/review/visitor#
937,938,파스타앤소주,일반음식점,경양식,"제주특별자치도 서귀포시 서귀동 416-2 상일아트리움, 2층 207호",https://pcmap.place.naver.com/restaurant/1310896700/review/visitor#
938,939,나경이네,일반음식점,한식,제주특별자치도 서귀포시 회수동 628번지 1층 ,https://pcmap.place.naver.com/restaurant/1830570083/review/visitor#
939,940,문어아저씨,일반음식점,한식,"제주특별자치도 서귀포시 성산읍 성산리 132-3번지 , 1층 ",https://pcmap.place.naver.com/restaurant/37293973/review/visitor#
940,941,일공구고깃집,일반음식점,한식,제주특별자치도 서귀포시 중문동 1432-2번지 ,https://pcmap.place.naver.com/restaurant/1467887201/review/visitor#
941,942,대가원,일반음식점,중국식,제주특별자치도 서귀포시 표선면 표선리 42번지 ,https://pcmap.place.naver.com/restaurant/1156608875/review/visitor#
942,943,돈블랙서귀포본점,일반음식점,한식,제주특별자치도 서귀포시 서호동 1553-7 ,https://pcmap.place.naver.com/restaurant/19578951/review/visitor#
943,944,노인과바다참치,일반음식점,횟집,제주특별자치도 서귀포시 서귀동 310-15 ,https://pcmap.place.naver.com/restaurant/1891300678/review/visitor#
944,945,루브리카,일반음식점,경양식,제주특별자치도 서귀포시 색달동 2101 ,https://pcmap.place.naver.com/restaurant/1829443281/review/visitor#
945,946,라운지앤바,일반음식점,경양식,제주특별자치도 서귀포시 색달동 2101 ,https://pcmap.place.naver.com/restaurant/1463263118/review/visitor#
946,947,피크포인트,일반음식점,경양식,제주특별자치도 서귀포시 색달동 2101 4층 본관동 ,https://pcmap.place.naver.com/restaurant/1249597930/review/visitor#
947,948,잇투오,일반음식점,패밀리레스트랑,제주특별자치도 서귀포시 색달동 2101 지2층 본관동 ,https://pcmap.place.naver.com/restaurant/1047964571/review/visitor#
948,949,보리타작,일반음식점,한식,제주특별자치도 서귀포시 안덕면 사계리 385-1 ,https://pcmap.place.naver.com/restaurant/1502764883/review/visitor#
949,950,인정궁물떡볶이,일반음식점,한식,제주특별자치도 서귀포시 안덕면 사계리 226 몬트마레 지1층 1103호,https://pcmap.place.naver.com/restaurant/1225655528/review/visitor#
950,951,카페해오름노을,일반음식점,경양식,제주특별자치도 서귀포시 강정동 4665-1 2층 ,https://pcmap.place.naver.com/restaurant/1453366351/review/visitor#
951,952,더드림밥상,일반음식점,한식,제주특별자치도 서귀포시 남원읍 신례리 1640-1 1층 ,https://pcmap.place.naver.com/restaurant/1624256555/review/visitor#
952,953,고쿠텐서귀포점,일반음식점,일식,제주특별자치도 서귀포시 법환동 282-1 ,https://pcmap.place.naver.com/restaurant/1226603710/review/visitor#
953,954,라스베가스펍,일반음식점,호프/통닭,제주특별자치도 서귀포시 서귀동 417-11 ,https://pcmap.place.naver.com/restaurant/1961558924/review/visitor#
954,955,우수미회센타호텔더본점,일반음식점,일식,제주특별자치도 서귀포시 색달동 2138 별관 1층 ,https://pcmap.place.naver.com/restaurant/1230962617/review/visitor#
955,956,제주양반갈비법환점,일반음식점,한식,제주특별자치도 서귀포시 법환동 1552-3 ,https://pcmap.place.naver.com/restaurant/1592243122/review/visitor#
956,957,웨이브라운지(WAVVVVE LOUNGE),일반음식점,한식,제주특별자치도 서귀포시 색달동 2558 ,https://pcmap.place.naver.com/restaurant/1369840958/review/visitor#
957,958,사우쓰캘리(South Calli),일반음식점,"외국음식전문점(인도,태국등)",제주특별자치도 서귀포시 강정동 1339 ,https://pcmap.place.naver.com/restaurant/1338037382/review/visitor#
958,959,카페봄봄칠십리점,일반음식점,경양식,제주특별자치도 서귀포시 서귀동 8-1 1층 ,https://pcmap.place.naver.com/restaurant/1422965023/review/visitor#
959,960,모레기동타잔,일반음식점,한식,제주특별자치도 서귀포시 상효동 1391-1 2동 ,https://pcmap.place.naver.com/restaurant/1922090432/review/visitor#
960,961,통달배표선점,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 841-1 1층 ,https://pcmap.place.naver.com/restaurant/1471593407/review/visitor#
961,962,오규동남원점,일반음식점,일식,제주특별자치도 서귀포시 남원읍 남원리 52-2 ,https://pcmap.place.naver.com/restaurant/1152256694/review/visitor#
962,963,수연수산해물포차,일반음식점,한식,제주특별자치도 서귀포시 대정읍 하모리 560-6 ,https://pcmap.place.naver.com/restaurant/1122230201/review/visitor#
963,964,조선마방본점,일반음식점,한식,제주특별자치도 서귀포시 동홍동 648-12 1층 ,https://pcmap.place.naver.com/restaurant/1151375289/review/visitor#
964,965,서귀동순대나이트마켓,일반음식점,한식,제주특별자치도 서귀포시 서귀동 128-6 ,https://pcmap.place.naver.com/restaurant/1526688712/review/visitor#
965,966,카페을리,일반음식점,경양식,제주특별자치도 서귀포시 안덕면 상창리 899-1 ,https://pcmap.place.naver.com/restaurant/1642599855/review/visitor#
966,967,애월연어신서귀포점,일반음식점,경양식,제주특별자치도 서귀포시 강정동 172-5 ,https://pcmap.place.naver.com/restaurant/1726405098/review/visitor#
967,968,쇠소깍작은정원,일반음식점,한식,제주특별자치도 서귀포시 하효동 536 ,https://pcmap.place.naver.com/restaurant/21083883/review/visitor#
968,969,갓포차,일반음식점,한식,제주특별자치도 서귀포시 서귀동 305-8 2층 ,https://pcmap.place.naver.com/restaurant/1228243883/review/visitor#
969,970,사실은사소한일상,일반음식점,패밀리레스트랑,제주특별자치도 서귀포시 대정읍 무릉리 933-14 ,https://pcmap.place.naver.com/restaurant/1339748332/review/visitor#
970,971,제이비비큐썸씽,일반음식점,경양식,제주특별자치도 서귀포시 대정읍 상모리 133-1 ,https://pcmap.place.naver.com/restaurant/1943850167/review/visitor#
971,972,캐노퍼스,일반음식점,한식,제주특별자치도 서귀포시 호근동 409-4 ,https://pcmap.place.naver.com/restaurant/1700079709/review/visitor#
972,973,살롱드감산,일반음식점,분식,제주특별자치도 서귀포시 안덕면 감산리 373-9 A동 ,https://pcmap.place.naver.com/restaurant/1985465062/review/visitor#
973,974,색달돈솔,일반음식점,한식,제주특별자치도 서귀포시 색달동 1870-2 ,https://pcmap.place.naver.com/restaurant/1372844731/review/visitor#
974,975,쌈짓돈,일반음식점,한식,제주특별자치도 서귀포시 표선면 표선리 634-11 ,https://pcmap.place.naver.com/restaurant/1274142374/review/visitor#
975,976,제주농부쌈밥,일반음식점,한식,제주특별자치도 서귀포시 중문동 2078-3 ,https://pcmap.place.naver.com/restaurant/1574758667/review/visitor#
976,977,영진분식,일반음식점,한식,제주특별자치도 서귀포시 대정읍 신평리 487-3 ,https://pcmap.place.naver.com/restaurant/1984138938/review/visitor#
977,978,"오늘,또",일반음식점,뷔페식,제주특별자치도 서귀포시 동홍동 422-3 ,https://pcmap.place.naver.com/restaurant/1053248630/review/visitor#
978,979,The Sol(더쏠),일반음식점,"외국음식전문점(인도,태국등)",제주특별자치도 서귀포시 색달동 1932-5 ,https://pcmap.place.naver.com/restaurant/1283575875/review/visitor#
979,980,좁생이 방앗간,일반음식점,호프/통닭,제주특별자치도 서귀포시 성산읍 신천리 1035 ,https://pcmap.place.naver.com/restaurant/1136081770/review/visitor#
980,981,제주앤더스,일반음식점,패밀리레스트랑,제주특별자치도 서귀포시 대정읍 무릉리 2805-3 ,https://pcmap.place.naver.com/restaurant/1261926527/review/visitor#
981,982,옛날통닭남원점,일반음식점,호프/통닭,제주특별자치도 서귀포시 남원읍 남원리 1347-3 ,https://pcmap.place.naver.com/restaurant/38302949/review/visitor#
982,983,소곰밭원담,일반음식점,횟집,제주특별자치도 서귀포시 대정읍 동일리 2666-1 ,https://pcmap.place.naver.com/restaurant/1153977352/review/visitor#
983,984,바당길서귀포점,일반음식점,한식,제주특별자치도 서귀포시 남원읍 신례리 71-4 ,https://pcmap.place.naver.com/restaurant/1163392518/review/visitor#
984,985,인쌩맥주서귀동홍점,일반음식점,호프/통닭,제주특별자치도 서귀포시 동홍동 413-3 ,https://pcmap.place.naver.com/restaurant/1584922774/review/visitor#
985,986,옳은식당성산,일반음식점,한식,제주특별자치도 서귀포시 성산읍 성산리 392 제주 성산 리치유 클래시아 1층 38호,https://pcmap.place.naver.com/restaurant/1429301489/review/visitor#
986,987,고바진,일반음식점,식육(숯불구이),제주특별자치도 서귀포시 안덕면 동광리 525-1 ,https://pcmap.place.naver.com/restaurant/1050435989/review/visitor#
987,988,괸당집중문점,일반음식점,한식,제주특별자치도 서귀포시 중문동 1973-4 드림오피스 ,https://pcmap.place.naver.com/restaurant/1334183517/review/visitor#
988,989,구룸,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 연동 355-1 ,https://pcmap.place.naver.com/restaurant/1477314774/review/visitor#
989,990,씨유제주곰솔곶점,휴게음식점,편의점,제주특별자치도 제주시 이도이동 1948-10번지 ,https://pcmap.place.naver.com/restaurant/38758634/review/visitor#
990,991,인연153,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 애월읍 구엄리 509번지 ,https://pcmap.place.naver.com/restaurant/1672749652/review/visitor#
991,992,커피마씀,휴게음식점,커피숍,제주특별자치도 제주시 애월읍 애월리 2071-3 ,https://pcmap.place.naver.com/restaurant/1086889287/review/visitor#
992,993,스톤헤이븐,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 연동 302-7번지 ,https://pcmap.place.naver.com/restaurant/1093488595/review/visitor#
993,994,씨유에코빌리지점,휴게음식점,편의점,제주특별자치도 제주시 노형동 930-1번지 에코빌리지 ,https://pcmap.place.naver.com/restaurant/1837126346/review/visitor#
994,995,씨유제주용담중앙점,휴게음식점,편의점,제주특별자치도 제주시 용담일동 2821-10번지 ,https://pcmap.place.naver.com/restaurant/1968573028/review/visitor#
995,996,씨유제주연안여객터미널점,휴게음식점,편의점,제주특별자치도 제주시 건입동 918-25번지 제주항연안여객터미널 ,https://pcmap.place.naver.com/restaurant/1781121814/review/visitor#
996,997,그리트커피,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 아라일동 6114-9번지 ,https://pcmap.place.naver.com/restaurant/1806243380/review/visitor#
997,998,푸릇프릍,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 아라일동 6114-10번지 ,https://pcmap.place.naver.com/restaurant/1240479209/review/visitor#
998,999,씨유제주삼화부영6차점,휴게음식점,편의점,제주특별자치도 제주시 도련일동 1911번지 제주삼화사랑으로부영6차 ,https://pcmap.place.naver.com/restaurant/1409241843/review/visitor#
999,1000,온에어피씨방한라대2호점,휴게음식점,일반조리판매,제주특별자치도 제주시 노형동 1561-2번지 ,https://pcmap.place.naver.com/restaurant/1759341241/review/visitor#
1000,1001,놀놀플레이그라운드카페,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 구좌읍 평대리 3283-2 ,https://pcmap.place.naver.com/restaurant/1213505228/review/visitor#
1001,1002,지에스25연동모디움점,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 연동 260-38번지 ,https://pcmap.place.naver.com/restaurant/1972642565/review/visitor#
1002,1003,지에스25도남해모로점,휴게음식점,편의점,제주특별자치도 제주시 도남동 811번지 ,https://pcmap.place.naver.com/restaurant/1980028973/review/visitor#
1003,1004,연주다방,휴게음식점,커피숍,제주특별자치도 제주시 용담일동 2822-20번지 ,https://pcmap.place.naver.com/restaurant/1457315777/review/visitor#
1004,1005,세라비,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 노형동 763-10번지 ,https://pcmap.place.naver.com/restaurant/1010070435/review/visitor#
1005,1006,세븐일레븐연동국기점,휴게음식점,편의점,제주특별자치도 제주시 연동 1509-7번지 ,https://pcmap.place.naver.com/restaurant/1795173915/review/visitor#
1006,1007,써니의놀이터,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 한림읍 협재리 1076-1번지 ,https://pcmap.place.naver.com/restaurant/1849080586/review/visitor#
1007,1008,도두해수파크구내매점,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 도두일동 1729번지 도두해수파크 ,https://pcmap.place.naver.com/restaurant/1379781602/review/visitor#
1008,1009,씨유제주월광점,휴게음식점,편의점,제주특별자치도 제주시 노형동 2895-2번지 ,https://pcmap.place.naver.com/restaurant/1556239664/review/visitor#
1009,1010,디저트카페프룻,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 노형동 2592-7 ,https://pcmap.place.naver.com/restaurant/1006084735/review/visitor#
1010,1011,어글리딜리셔스,휴게음식점,커피숍,제주특별자치도 제주시 이도이동 2003-5 ,https://pcmap.place.naver.com/restaurant/1830782485/review/visitor#
1011,1012,씨유제주용담서문로점,휴게음식점,편의점,제주특별자치도 제주시 용담일동 243-18번지 ,https://pcmap.place.naver.com/restaurant/37912010/review/visitor#
1012,1013,씨유제주납읍점,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 애월읍 납읍리 2398-2번지 ,https://pcmap.place.naver.com/restaurant/1346306936/review/visitor#
1013,1014,달링하버,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 한경면 금등리 172번지 ,https://pcmap.place.naver.com/restaurant/1681537017/review/visitor#
1014,1015,쿠키키,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 애월읍 하귀2리 1436-5번지 ,https://pcmap.place.naver.com/restaurant/1108368332/review/visitor#
1015,1016,씨유제주대생활관점,휴게음식점,편의점,제주특별자치도 제주시 아라일동 1번지 제주대학교 학생생활관6호관 ,https://pcmap.place.naver.com/restaurant/1254110786/review/visitor#
1016,1017,리틀푸키,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 애월읍 하귀1리 138-1번지 ,https://pcmap.place.naver.com/restaurant/1611791755/review/visitor#
1017,1018,세븐일레븐헤르지아점,휴게음식점,커피숍,제주특별자치도 제주시 오라이동 1222번지 ,https://pcmap.place.naver.com/restaurant/1255063065/review/visitor#
1018,1019,카페더콘테나,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 조천읍 와산리 851번지 ,https://pcmap.place.naver.com/restaurant/1339557107/review/visitor#
1019,1020,파티오쿠진아트랩,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 아라일동 6063-1 세인트빌 ,https://pcmap.place.naver.com/restaurant/1530637196/review/visitor#
1020,1021,바람과바다,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 조천읍 신흥리 870번지 ,https://pcmap.place.naver.com/restaurant/1702077197/review/visitor#
1021,1022,인바이트유,휴게음식점,커피숍,제주특별자치도 제주시 노형동 2420번지 ,https://pcmap.place.naver.com/restaurant/1589308867/review/visitor#
1022,1023,오늘의찬,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 오라이동 1368번지 ,https://pcmap.place.naver.com/restaurant/1176759571/review/visitor#
1023,1024,홍요깃거리애월점,휴게음식점,일반조리판매,제주특별자치도 제주시 연동 323-2번지 ,https://pcmap.place.naver.com/restaurant/36369202/review/visitor#
1024,1025,세븐일레븐제주해밀마루점,휴게음식점,편의점,제주특별자치도 제주시 외도일동 529-1번지 ,https://pcmap.place.naver.com/restaurant/1036129962/review/visitor#
1025,1026,갈치공장,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 구좌읍 평대리 4-49 ,https://pcmap.place.naver.com/restaurant/1730875080/review/visitor#
1026,1027,리크커피,휴게음식점,커피숍,제주특별자치도 제주시 이도이동 1953-6번지 ,https://pcmap.place.naver.com/restaurant/1398948104/review/visitor#
1027,1028,지에스25제주대흘점,휴게음식점,편의점,제주특별자치도 제주시 조천읍 대흘리 1611-1번지 ,https://pcmap.place.naver.com/restaurant/1016807295/review/visitor#
1028,1029,제주탐라만두,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 한림읍 협재리 2447-27 ,https://pcmap.place.naver.com/restaurant/1621501919/review/visitor#
1029,1030,뽕꼬랑김밥,휴게음식점,일반조리판매,제주특별자치도 제주시 용담이동 597-2번지 ,https://pcmap.place.naver.com/restaurant/1985935298/review/visitor#
1030,1031,카페수블리,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 조천읍 와산리 1642-1번지 ,https://pcmap.place.naver.com/restaurant/1749063777/review/visitor#
1031,1032,에이바우트첨단점,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 영평동 2169-17 ,https://pcmap.place.naver.com/restaurant/1565829988/review/visitor#
1032,1033,우연히그곳,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 구좌읍 송당리 1370-3번지 ,https://pcmap.place.naver.com/restaurant/1405476691/review/visitor#
1033,1034,번영김밥,휴게음식점,기타 휴게음식점,제주특별자치도 제주시 봉개동 1902번지 ,https://pcmap.place.naver.com/restaurant/1879786273/review/visitor#
