,name,address
1903337,커피방듸,제주특별자치도 서귀포시 성산읍 섭지코지로 48
1903365,GS25서귀동홍점,"제주특별자치도 서귀포시 동홍중앙로 50, 1층 (동홍동)"
1903375,씨유강정마을점,제주특별자치도 서귀포시 이어도로 579 (강정동)
1903390,마녀닭강정&치킨,제주특별자치도 서귀포시 중앙로 65 (서귀동)
1903432,씨유서귀포광장점,제주특별자치도 서귀포시 중앙로 85 (서귀동)
1903496,60빈스,제주특별자치도 서귀포시 태평로120번길 29-2 (호근동)
1903648,소문난순대족발,제주특별자치도 서귀포시 중앙로42번길 22 (서귀동)
1903807,씨유서귀포강정점,제주특별자치도 서귀포시 신서귀로97번길 84 (강정동)
1903816,커피먹는고냉이,제주특별자치도 서귀포시 성산읍 신양로 103
1904060,복음이네김밥만두,제주특별자치도 서귀포시 김정문화로 64 (법환동)
1904170,씨유 서귀포동문점,제주특별자치도 서귀포시 중동로48번길 11 (서귀동)
1904180,안녕좋은하루,제주특별자치도 서귀포시 천제연로 172 (중문동)
1904204,케이크를부탁해서귀포점,"제주특별자치도 서귀포시 중앙로 66, 1층 (서귀동)"
1904214,파머스커피,제주특별자치도 서귀포시 월평하원로 43-3 (월평동)
1904227,씨유제주동남점,제주특별자치도 서귀포시 성산읍 동류암로 48
1904373,삼매봉153,제주특별자치도 서귀포시 남성중로153번길 15 (서홍동)
1904485,용우동서귀포점,제주특별자치도 서귀포시 이중섭로 4 (서귀동)
1904507,베트로,제주특별자치도 서귀포시 중정로62번길 1 (서귀동)
1904520,서귀포 피자클래스,제주특별자치도 서귀포시 일주동로 8650 (동홍동)
1904521,씨유서귀포정방점,제주특별자치도 서귀포시 태평로 463 (서귀동)
1904531,숑,제주특별자치도 서귀포시 남원읍 공천포로 91
1904584,원테이블,제주특별자치도 서귀포시 법환로 14 (법환동)
1904587,불로초장터,제주특별자치도 서귀포시 중앙로42번길 22 (서귀동)
1904634,김밥천국서귀포점,제주특별자치도 서귀포시 중정로 60 (서귀동)
1904662,씨유제주위미점,제주특별자치도 서귀포시 남원읍 태위로 200
1904672,명랑쌀핫도그동홍점,제주특별자치도 서귀포시 태평로537번길 49 (동홍동)
1904700,한아름분식,제주특별자치도 서귀포시 중앙로 154 (서홍동)
1904704,세븐일레븐서귀포스카이힐점,제주특별자치도 서귀포시 일주서로 1124 (상예동)
1904714,이디야커피전문점,제주특별자치도 서귀포시 일주동로 9209 (법환동)
1904762,씨유서귀토평점,제주특별자치도 서귀포시 중산간동로 7738 (토평동)
1904772,베스킨라빈스,제주특별자치도 서귀포시 일주동로 8674-1 (동홍동)
1907252,카페50번길,"제주특별자치도 서귀포시 토평로50번길 23, 1층 (토평동)"
1907256,놀숲서귀포신시가지점,"제주특별자치도 서귀포시 대청로25번길 4, 4층 (강정동)"
1907264,바끄레카페,"제주특별자치도 서귀포시 중앙로 105, 별관 1층 (서홍동)"
1907272,씨유서귀태흥점,제주특별자치도 서귀포시 남원읍 일주동로 6745
1907282,세븐일레븐밸류호텔점,"제주특별자치도 서귀포시 김정문화로 51, 제이에스밸류호텔 B동 지하1층 101호 (법환동)"
1907341,죽이야기서귀포점,"제주특별자치도 서귀포시 중앙로71번길 7, 1층 (서귀동)"
1907358,씨유제주섭지코지점,제주특별자치도 서귀포시 성산읍 신양로 114
1907534,세븐일레븐 서귀포송산점,제주특별자치도 서귀포시 칠십리로 139 (서귀동)
1907544,메가커피중문점,"제주특별자치도 서귀포시 천제연로 182, 1층 (중문동)"
1907554,쿠티커피,제주특별자치도 서귀포시 성산읍 성산중앙로 43
1907618,씨유서귀위미동백점,"제주특별자치도 서귀포시 남원읍 태위로 369, 1층"
1907628,유구레,제주특별자치도 서귀포시 중문관광로 345 (중문동)
1907629,세컨드뮤지오,"제주특별자치도 서귀포시 흙담솔로 117, 2층 (서홍동)"
1907631,씨유서귀강정천점,"제주특별자치도 서귀포시 이어도로 638, 1층 (강정동)"
1907641,에브리데이,"제주특별자치도 서귀포시 동홍동로 37, 1층 (동홍동)"
1907643,GS25신서귀포점,"제주특별자치도 서귀포시 신서귀로97번길 45, 1층 (강정동)"
1907653,놀멍쉬멍고르멍,제주특별자치도 서귀포시 현청로 51 (서홍동)
1907656,제주인화찐빵,제주특별자치도 서귀포시 동홍로 19 (서귀동)
1907664,씨유서귀강정이어도로점,"제주특별자치도 서귀포시 이어도로 793, 1층 (강정동)"
1907705,오는정김밥,제주특별자치도 서귀포시 동문동로 2 (서귀동)
1915973,엔제리너스 천지연폭포점,제주특별자치도 서귀포시 남성중로 2-3 (서홍동)
