,name,address
998227,이레막국수,제주특별자치도 서귀포시 천지로 59 (서귀동)
999050,본죽서귀포점,"제주특별자치도 서귀포시 중앙로 111, 1층 (서홍동)"
999158,정이가네동홍점,제주특별자치도 서귀포시 일주동로 8542 (동홍동)
999212,삼겹살파티,제주특별자치도 서귀포시 문부로 4 (동홍동)
999230,이디야,제주특별자치도 서귀포시 중앙로71번길 6-2 (서귀동)
999278,더펍,제주특별자치도 서귀포시 동홍서로 83 (동홍동)
999335,또오리,제주특별자치도 서귀포시 동홍북로 8 (동홍동)
999443,돈내코손두부,제주특별자치도 서귀포시 배낭골로21번길 19 (상효동)
999608,일출왕뚝배기,제주특별자치도 서귀포시 성산읍 일출로 247
999668,다육이 풍경,제주특별자치도 서귀포시 하효중앙로98번길 27 (하효동)
999707,의령소바성산점,"제주특별자치도 서귀포시 성산읍 삼달로 120, 1층 102호"
999755,뒷빌레식당,제주특별자치도 서귀포시 토평로 75 (토평동)
999767,호랑이해장국,제주특별자치도 서귀포시 성산읍 성산중앙로 40
1000951,고등어쌈밥,제주특별자치도 서귀포시 성산읍 섭지코지로25번길 122-5
1002675,송화촌,제주특별자치도 서귀포시 솜반천로43번길 4 (서홍동)
1002747,웰빙싱싱회센타,제주특별자치도 서귀포시 중앙로62번길 13 (서귀동)
1002774,홍가네집밥,제주특별자치도 서귀포시 성산읍 일주동로 4224
1002816,유선식당,제주특별자치도 서귀포시 성산읍 일주동로 4229
1003572,오크레스토랑,제주특별자치도 서귀포시 김정문화로 15 (강정동)
1003575,돈꼬집,제주특별자치도 서귀포시 신서로32번길 18 (강정동)
1003965,신나이스,제주특별자치도 서귀포시 성산읍 고성오조로 76
1003971,오션뷰,제주특별자치도 서귀포시 중문관광로 224 (중문동)
1003980,청솔골,제주특별자치도 서귀포시 동홍로 114 (동홍동)
1003998,부촌석갈비,제주특별자치도 서귀포시 동홍로 371-1 (동홍동)
1004004,카페크레마,제주특별자치도 서귀포시 김정문화로 15 (강정동)
1004010,토향,제주특별자치도 서귀포시 남원읍 태위로679번길 7-1
1004072,제주신라글램핑&캠핑,제주특별자치도 서귀포시 중문관광로72번길 75 (색달동)
1004075,걸작떡볶이치킨서귀포서홍점,제주특별자치도 서귀포시 중산간동로 8040-1 (서홍동)
1004123,흑돈향,제주특별자치도 서귀포시 태평로 58 (호근동)
1004255,막창먹는놈성산점,제주특별자치도 서귀포시 성산읍 고성오조로 83
1004323,삿뽀로우동집동홍점,제주특별자치도 서귀포시 동홍동로26번길 8 (동홍동)
1004367,대향 연탄구이,제주특별자치도 서귀포시 태평로 407 (서귀동)
1004399,모멘토,"제주특별자치도 서귀포시 태평로439번길 21, 지하1층 (서귀동)"
1004405,배떡중문점,제주특별자치도 서귀포시 천제연로 131-8 (중문동)
1004435,쇠소깍모꼬지,제주특별자치도 서귀포시 일주동로 8104 (하효동)
1004811,흑돈오리,제주특별자치도 서귀포시 이중섭로 5-5 (서귀동)
1005127,서가도쿄식탁,제주특별자치도 서귀포시 천제연로208번길 3 (중문동)
1005163,문화통닭,제주특별자치도 서귀포시 성산읍 고성오조로 81
1006351,중문흑돼지천국,"제주특별자치도 서귀포시 이어도로 137, 1층 (대포동)"
1008007,동홍돈,제주특별자치도 서귀포시 동홍남로 51 (동홍동)
