,name,address
1618638,루트17,"제주특별자치도 제주시 동한두기길 3-16, 1층 (용담일동)"
1618659,달콤다락,"제주특별자치도 제주시 동문로4길 17, 1층 (일도일동)"
1618843,죽마고우,제주특별자치도 제주시 연화로2길 20 (연동)
1619075,꼬들목살집,제주특별자치도 제주시 진군중길 26 (노형동)
1619080,리틀비엣,"제주특별자치도 제주시 인다7길 16, 1층 (아라일동)"
1619168,빨강코끼리,제주특별자치도 제주시 다랑곶6길 26-1 (노형동)
1619225,뻘쭈,"제주특별자치도 제주시 신성로13길 4, 1층 (이도이동)"
1619243,과수원집,제주특별자치도 제주시 천수동로 35 (건입동)
1619263,난타5000피자아라점,"제주특별자치도 제주시 중앙로 581 (아라일동,제1호(1층))"
1619274,풀향기,"제주특별자치도 제주시 우령2길 19-2 (외도일동, 나동)"
1619306,또래오래화북삼양점,"제주특별자치도 제주시 설촌로2길 23, 상가동 1층 108호 (삼양이동)"
1619311,난타오천도남점,"제주특별자치도 제주시 도남로 56 (도남동,(1층))"
1619312,뽀글뽀글,"제주특별자치도 제주시 임항로 60, 1층 (건입동)"
1619333,정성으로상차림,"제주특별자치도 제주시 영강길 137, 1층 (영평동)"
1619334,이공사키친,"제주특별자치도 제주시 신성로 107, 1층 (이도이동)"
1619335,인서네,"제주특별자치도 제주시 오일장동길 34, 1층 (도두일동)"
1619337,백봉차오름,"제주특별자치도 제주시 구남동2길 59, 1층 (이도이동, 휴팰리스)"
1619338,카페이에르바,"제주특별자치도 제주시 조천읍 신촌남1길 33-8, 1층"
1619504,자담치킨삼도점,"제주특별자치도 제주시 전농로 33, 1층 (삼도일동)"
1619514,집아페,"제주특별자치도 제주시 서광로13길 3, 1층 (삼도일동)"
1619607,어머니와장독대노형점,"제주특별자치도 제주시 월광로 77, 제주시농협하나로유통센터 2층 (노형동)"
1619662,호텔시리우스,"제주특별자치도 제주시 도령로 133, 지하1지상1층 (연동)"
1619847,오산봉,"제주특별자치도 제주시 천수로9길 15, 1층 (일도이동)"
1619849,냄비에퐁닭,"제주특별자치도 제주시 서광로32길 26-5, 1층 (이도이동)"
1619862,대정골,"제주특별자치도 제주시 용담로18길 3, 1층 (용담일동)"
1619866,징기스이도점,"제주특별자치도 제주시 승천로 68, 1층 (아라이동)"
1619895,왕언니밥상,"제주특별자치도 제주시 태성로1길 3, 1층 (일도이동)"
1619904,산촌,제주특별자치도 제주시 성신로 15 (연동)
1619914,루머팡인화점,"제주특별자치도 제주시 동광로 84, 1층 (이도이동)"
1619954,가람,"제주특별자치도 제주시 복지로북길 4, 1층 (도남동)"
1620038,족풍,"제주특별자치도 제주시 인다11길 24, 1층 (아라일동)"
1620057,효섬마을초가집,"제주특별자치도 제주시 명림로 243, 1층 (봉개동)"
1620349,또술,제주특별자치도 제주시 고마로 134 (이도이동)
1620350,시민명가,제주특별자치도 제주시 남성로26길 46 (삼도이동)
1620355,지호,"제주특별자치도 제주시 우정로11길 10 (외도일동,(우정동5로10))"
1620381,스페샬아라점,제주특별자치도 제주시 중앙로 579 (아라일동)
1620382,윤옥,"제주특별자치도 제주시 구남동2길 19-4, 1층 (이도이동)"
1621742,본죽앤비빔밥제주삼화점,"제주특별자치도 제주시 건주로 43, 1층 (도련일동)"
1621776,토대력신산로점,"제주특별자치도 제주시 신산로 40-1, 1층 (일도이동)"
1621786,바삭시청점,"제주특별자치도 제주시 서광로32길 32, 2층 (이도이동)"
1621830,청풍국수,"제주특별자치도 제주시 진남로6길 40, 1층 (화북일동)"
1621835,신토불이수산,"제주특별자치도 제주시 정존3길 25, 1~2층 (노형동)"
1621842,한라분식,"제주특별자치도 제주시 도령로 73, 102호 (연동, 연동펠리체)"
1621845,인형의집,"제주특별자치도 제주시 관덕로 40, 1층 (일도일동)"
1621847,맛난사계절,"제주특별자치도 제주시 조천읍 신촌3길 38, 1층"
1621869,담담매운갈비연구소,"제주특별자치도 제주시 연동8길 28, 지하1층 1호 (연동)"
1622009,제주소낭밥집,제주특별자치도 제주시 명림로 4 (봉개동)
1622012,지중해참치,제주특별자치도 제주시 월랑로 13 (노형동)
1622021,윈드스테이,"제주특별자치도 제주시 테우해안로 64, 1층 (내도동)"
1622067,감탄돈,"제주특별자치도 제주시 오래물길 6, 1층 (도두일동)"
1622070,신등대민박수산회센타,"제주특별자치도 제주시 추자면 추자로 12, 1층"
1622075,은혜중화요리,"제주특별자치도 제주시 인다2길 20, 1층 (아라일동)"
1622100,미스칠,"제주특별자치도 제주시 일주서로 7831, 1층 (연동)"
1622310,요망진달팽이,"제주특별자치도 제주시 조천읍 함와로 566-29, 211동 1층"
1622318,치킨플러스제주아라점,"제주특별자치도 제주시 인다6길 52, 1층 (아라일동)"
1622324,제주분식,"제주특별자치도 제주시 귀아랑길 23 (연동,(1층))"
