,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
250,족발야시장노형점,족발야시장노형점제주특별자치도 제주시 다랑곶1길 9,일반음식점,한식,제주특별자치도 제주시 다랑곶1길 9,https://pcmap.place.naver.com/restaurant/1829269332/review/visitor#
251,동귀리갈칫집,동귀리갈칫집제주특별자치도 제주시 월랑로 83,일반음식점,한식,제주특별자치도 제주시 월랑로 83,https://pcmap.place.naver.com/restaurant/1013261851/review/visitor#
254,런던다락,런던다락제주특별자치도 제주시 한림읍 한림로 335,일반음식점,한식,제주특별자치도 제주시 한림읍 한림로 335,https://pcmap.place.naver.com/restaurant/1025785913/review/visitor#
255,우도로93,우도로93제주특별자치도 제주시 우도면 우도로 93,일반음식점,한식,제주특별자치도 제주시 우도면 우도로 93,https://pcmap.place.naver.com/restaurant/1171367142/review/visitor#
256,약산흑염소가든,약산흑염소가든제주특별자치도 제주시 대동길 2,일반음식점,한식,제주특별자치도 제주시 대동길 2,https://pcmap.place.naver.com/restaurant/1621483393/review/visitor#
257,모닥치기아라,모닥치기아라제주특별자치도 제주시 인다9길 8,일반음식점,기타,제주특별자치도 제주시 인다9길 8,https://pcmap.place.naver.com/restaurant/1435380186/review/visitor#
258,제주돼학교,제주돼학교제주특별자치도 제주시 신설로9길 48,일반음식점,기타,제주특별자치도 제주시 신설로9길 48,https://pcmap.place.naver.com/restaurant/1184947857/review/visitor#
260,홀릭,홀릭제주특별자치도 제주시 원남6길 58,일반음식점,기타,제주특별자치도 제주시 원남6길 58,https://pcmap.place.naver.com/restaurant/1469325050/review/visitor#
261,협재술집김씨술생활,협재술집김씨술생활제주특별자치도 제주시 한림읍 한림로 406,일반음식점,일식,제주특별자치도 제주시 한림읍 한림로 406,https://pcmap.place.naver.com/restaurant/1619292194/review/visitor#
262,족발야시장일도점,족발야시장일도점제주특별자치도 제주시 고마로 145,일반음식점,식육(숯불구이),제주특별자치도 제주시 고마로 145,https://pcmap.place.naver.com/restaurant/1667265889/review/visitor#
263,명호,명호제주특별자치도 제주시 신대로12길 15,일반음식점,기타,제주특별자치도 제주시 신대로12길 15,https://pcmap.place.naver.com/restaurant/1835331356/review/visitor#
264,김녕에사는김영훈,김녕에사는김영훈제주특별자치도 제주시 구좌읍 김녕로6길 2,일반음식점,기타,제주특별자치도 제주시 구좌읍 김녕로6길 2,https://pcmap.place.naver.com/restaurant/1257655031/review/visitor#
266,대나무집,대나무집제주특별자치도 제주시 정존1길 2,일반음식점,한식,제주특별자치도 제주시 정존1길 2,https://pcmap.place.naver.com/restaurant/20111870/review/visitor#
267,카페분식이다,카페분식이다제주특별자치도 제주시 구남로2길 25,일반음식점,경양식,제주특별자치도 제주시 구남로2길 25,https://pcmap.place.naver.com/restaurant/1169836420/review/visitor#
268,달꿈국수,달꿈국수제주특별자치도 제주시 서해안로 468-4,일반음식점,한식,제주특별자치도 제주시 서해안로 468-4,https://pcmap.place.naver.com/restaurant/36399072/review/visitor#
270,역전할머니맥주연동점,역전할머니맥주연동점제주특별자치도 제주시 노연로 108,일반음식점,기타,제주특별자치도 제주시 노연로 108,https://pcmap.place.naver.com/restaurant/1029146972/review/visitor#
272,칠칠판,칠칠판제주특별자치도 제주시 신산로 61,일반음식점,기타,제주특별자치도 제주시 신산로 61,https://pcmap.place.naver.com/restaurant/1338807227/review/visitor#
274,남이네육개장,남이네육개장제주특별자치도 제주시 서사로 62,일반음식점,한식,제주특별자치도 제주시 서사로 62,https://pcmap.place.naver.com/restaurant/1604859870/review/visitor#
275,스토브온제주,스토브온제주제주특별자치도 제주시 한림읍 중산간서로 4062,일반음식점,기타,제주특별자치도 제주시 한림읍 중산간서로 4062,https://pcmap.place.naver.com/restaurant/1596213047/review/visitor#
276,협재1번가,협재1번가제주특별자치도 제주시 한림읍 협재1길 1,일반음식점,한식,제주특별자치도 제주시 한림읍 협재1길 1,https://pcmap.place.naver.com/restaurant/1046784594/review/visitor#
277,카페소소한,카페소소한제주특별자치도 제주시 서흘길 40,일반음식점,경양식,제주특별자치도 제주시 서흘길 40,https://pcmap.place.naver.com/restaurant/1189792677/review/visitor#
278,현카페,현카페제주특별자치도 제주시 조천읍 함덕18길 1,일반음식점,기타,제주특별자치도 제주시 조천읍 함덕18길 1,https://pcmap.place.naver.com/restaurant/34602348/review/visitor#
279,제주맛족,제주맛족제주특별자치도 제주시 서사로 75,일반음식점,기타,제주특별자치도 제주시 서사로 75,https://pcmap.place.naver.com/restaurant/1502833176/review/visitor#
