,UserID,ItemID,Rating,Timestamp
3429,604223b6aa326a58402c4233,연다라,5,2021.08.22
3430,5f9f70e3419b59436bb27929,연다라,5,2021.08.21
3431,5e144da98f87a842bcdf6b4c,솔향바다가든,5,2021.10.13
3432,5eaa7b008f87a842bce42f49,솔향바다가든,5,2021.10.07
3433,5e144da98f87a842bcdf6b4c,솔향바다가든,4.5,2021.10.05
3434,607676a1e2a1b629a22b6e86,솔향바다가든,5,2021.10.04
3435,5e5ef7918f87a842bcfbe529,솔향바다가든,5,2021.10.04
3436,60d587d668793dad5c784721,솔향바다가든,5,2021.10.03
3437,5d020acfa1ed68ca7d7c5ea6,솔향바다가든,0.5,2021.10.02
3438,6159681771dcac0662358329,솔향바다가든,5,2021.10.02
3439,60bc813e0d42bdc433dbc85e,솔향바다가든,4.5,2021.10.02
3440,602659ebe729d431aeee6c56,솔향바다가든,4.5,2021.10.02
3441,5f0452637681c6a89256d3a2,바다사랑채,5,2021.10.14
3442,5d7b83448f87a842bc8443ce,바다사랑채,5,2021.10.01
3443,5c24eb88240762cd732d5c84,바다사랑채,4.5,2021.09.30
3444,5f05a6370e1ac3aceef9ab75,바다사랑채,5,2021.09.25
3445,5df8e2658f87a842bc422499,바다사랑채,4.5,2021.09.08
3446,5c30eb8b8b5d4a7f77bf7332,바다사랑채,5,2021.08.26
3447,5be9d1dc37a4936766ca10f6,바다사랑채,4.5,2021.08.15
3448,5f3a3717a602e98f56f4d206,바다사랑채,5,2021.08.07
3449,5cdfda0abb96400616330f64,바다사랑채,5,2021.08.05
3450,60b1f7ce62dd99d2a7cc224f,바다사랑채,4,2021.08.01
3451,5f439823a602e98f56cd4d3f,포라인,4.5,2021.09.18
3452,5b6e57e75d8c7b4ca7560bcb,포라인,5,2021.08.05
3453,5c644adf2f158c188424e70d,포라인,5,2021.05.27
3454,5cb275dfe70a37f6219bebac,포라인,5,2021.05.20
3455,5de3a8b49ec8258e4ae9220f,포라인,5,2021.05.01
3456,5f5c825e6c3d7f73342c4e03,포라인,5,2021.03.06
3457,5ba5c1ca358154d64b70f867,포라인,4.5,2021.03.06
3458,5c396620c6f30b8d56007d45,포라인,5,2020.10.16
3459,5b6413b98bbe347a56827da7,포라인,5,2020.09.21
3460,5b6413b98bbe347a56827da7,포라인,5,2020.09.20
3461,5e4185c68f87a842bc5b06ef,춤추는돼지,5,2021.10.10
3462,5f055353532b4ce788cd09d5,춤추는돼지,5,2021.10.04
3463,5ef07f448f87a842bc68cd5b,춤추는돼지,5,2021.09.22
3464,5e00b4258f87a842bcef50bd,춤추는돼지,2.5,2021.09.17
3465,5c72903e2b7245445b6d4d93,춤추는돼지,4,2021.07.04
3466,60814be023f1c3ea77277c13,춤추는돼지,5,2021.07.03
3467,5f05c86d67168be022764f5b,춤추는돼지,5,2021.06.13
3468,5e00b4258f87a842bcef50bd,춤추는돼지,2.5,2021.01.18
3469,5dbd11188f87a842bc3660c0,춤추는돼지,5,2020.09.26
3470,5c5ff36bfdee01c90661febe,춤추는돼지,5,2020.08.31
3471,5c2bf0d1cf0d4d3a4b9f6830,베이징덕,3,2021.08.17
3472,5ecdf7fd8f87a842bc45c786,베이징덕,5,2021.08.12
3473,5db1a59f8f87a842bcf3a8b8,베이징덕,5,2021.08.12
3474,5ee6d83b8f87a842bc212171,베이징덕,4.5,2021.07.25
3475,5b9b3c6cac20703dd4224d0c,베이징덕,5,2021.06.17
3476,5db1a59f8f87a842bcf3a8b8,베이징덕,5,2021.05.18
3477,5f06d809200ffc9fb6658849,베이징덕,5,2021.03.25
3478,5c2c49ffbe4f2c889c8a71dc,베이징덕,4.5,2021.03.07
3479,5f1811dc9ec8258e4abaf335,베이징덕,5,2021.02.23
