,사업장명,사업장명add,업종구분대분류,업종구분소분류,주소,naver_map_url
886,김복남맥주노형점,김복남맥주노형점제주특별자치도 제주시 월랑로 15 (노형동),일반음식점,경양식,제주특별자치도 제주시 월랑로 15 (노형동),https://pcmap.place.naver.com/restaurant/1090545020/review/visitor#
887,어상,어상제주특별자치도 제주시 수덕9길 82-7,일반음식점,회집,제주특별자치도 제주시 수덕9길 82-7,https://pcmap.place.naver.com/restaurant/13068255/review/visitor#
888,푸라닭제주대점,푸라닭제주대점제주특별자치도 제주시 산천단동3길 13 (아라일동),일반음식점,호프/통닭,제주특별자치도 제주시 산천단동3길 13 (아라일동),https://pcmap.place.naver.com/restaurant/244297902/review/visitor#
894,중립,중립제주특별자치도 제주시 서광로32길 38,일반음식점,호프/통닭,제주특별자치도 제주시 서광로32길 38,https://pcmap.place.naver.com/restaurant/1461796410/review/visitor#
898,세화야참,세화야참제주특별자치도 제주시 구좌읍 세화3길 4,일반음식점,한식,제주특별자치도 제주시 구좌읍 세화3길 4,https://pcmap.place.naver.com/restaurant/1441042762/review/visitor#
899,코소롱,코소롱제주특별자치도 제주시 도령로7길 30,일반음식점,기타,제주특별자치도 제주시 도령로7길 30,https://pcmap.place.naver.com/restaurant/1172312165/review/visitor#
900,육도담,육도담제주특별자치도 제주시 도남로 59 (도남동),일반음식점,식육(숯불구이),제주특별자치도 제주시 도남로 59 (도남동),https://pcmap.place.naver.com/restaurant/1447897382/review/visitor#
901,삼조삼계탕,삼조삼계탕제주특별자치도 제주시 서광로13길 12,일반음식점,식육(숯불구이),제주특별자치도 제주시 서광로13길 12,https://pcmap.place.naver.com/restaurant/16721919/review/visitor#
904,서울정식뷔페,서울정식뷔페제주특별자치도 제주시 신대로18길 48 (연동),일반음식점,호프/통닭,제주특별자치도 제주시 신대로18길 48 (연동),https://pcmap.place.naver.com/restaurant/1070156584/review/visitor#
906,방파제식당,방파제식당제주특별자치도 제주시 조천읍 조천북1길 35-6,일반음식점,한식,제주특별자치도 제주시 조천읍 조천북1길 35-6,https://pcmap.place.naver.com/restaurant/1683667000/review/visitor#
907,시청골목집,시청골목집제주특별자치도 제주시 서광로32길 39-3 (이도이동),일반음식점,한식,제주특별자치도 제주시 서광로32길 39-3 (이도이동),https://pcmap.place.naver.com/restaurant/1031402564/review/visitor#
908,고기마을,고기마을제주특별자치도 제주시 진남로 21-1,일반음식점,한식,제주특별자치도 제주시 진남로 21-1,https://pcmap.place.naver.com/restaurant/12043807/review/visitor#
909,제주돈갈매기,제주돈갈매기제주특별자치도 제주시 천수로8길 3,일반음식점,식육(숯불구이),제주특별자치도 제주시 천수로8길 3,https://pcmap.place.naver.com/restaurant/16715336/review/visitor#
911,용연,용연제주특별자치도 제주시 동한두기길 35 (용담일동),일반음식점,회집,제주특별자치도 제주시 동한두기길 35 (용담일동),https://pcmap.place.naver.com/restaurant/13318783/review/visitor#
912,그램그램연동점,그램그램연동점제주특별자치도 제주시 신대로20길 56,일반음식점,한식,제주특별자치도 제주시 신대로20길 56,https://pcmap.place.naver.com/restaurant/37604041/review/visitor#
913,추가네,추가네제주특별자치도 제주시 서사로 176 (오라일동),일반음식점,탕류(보신용),제주특별자치도 제주시 서사로 176 (오라일동),https://pcmap.place.naver.com/restaurant/16775437/review/visitor#
916,국수천하,국수천하제주특별자치도 제주시 서사로 174 (오라일동),일반음식점,한식,제주특별자치도 제주시 서사로 174 (오라일동),https://pcmap.place.naver.com/restaurant/16775176/review/visitor#
918,도모다찌,도모다찌제주특별자치도 제주시 정존3길 6 (노형동),일반음식점,호프/통닭,제주특별자치도 제주시 정존3길 6 (노형동),https://pcmap.place.naver.com/restaurant/21764807/review/visitor#
